"county","Variable","col","Value"
"Allen","Cash Assistance/SNAP","With",0.142480211081794
"Anderson","Cash Assistance/SNAP","With",0.115548780487805
"Atchison","Cash Assistance/SNAP","With",0.150174042764794
"Barber","Cash Assistance/SNAP","With",0.0691569914184755
"Barton","Cash Assistance/SNAP","With",0.119847868388466
"Bourbon","Cash Assistance/SNAP","With",0.137632508833922
"Brown","Cash Assistance/SNAP","With",0.129205265724037
"Butler","Cash Assistance/SNAP","With",0.0927779837679726
"Chase","Cash Assistance/SNAP","With",0.0954954954954955
"Chautauqua","Cash Assistance/SNAP","With",0.165703275529865
"Cherokee","Cash Assistance/SNAP","With",0.146845267901853
"Cheyenne","Cash Assistance/SNAP","With",0.0443740095087163
"Clark","Cash Assistance/SNAP","With",0.0809061488673139
"Clay","Cash Assistance/SNAP","With",0.05655907610305
"Cloud","Cash Assistance/SNAP","With",0.103683148335015
"Coffey","Cash Assistance/SNAP","With",0.0963855421686747
"Comanche","Cash Assistance/SNAP","With",0.0561224489795918
"Cowley","Cash Assistance/SNAP","With",0.135447106954997
"Crawford","Cash Assistance/SNAP","With",0.129439097245271
"Decatur","Cash Assistance/SNAP","With",0.103190767141887
"Dickinson","Cash Assistance/SNAP","With",0.121835847609307
"Doniphan","Cash Assistance/SNAP","With",0.102283692505629
"Douglas","Cash Assistance/SNAP","With",0.0768368817032175
"Edwards","Cash Assistance/SNAP","With",0.0863422291993721
"Elk","Cash Assistance/SNAP","With",0.0987261146496815
"Ellis","Cash Assistance/SNAP","With",0.0709884358909428
"Ellsworth","Cash Assistance/SNAP","With",0.0676982591876209
"Finney","Cash Assistance/SNAP","With",0.137619047619048
"Ford","Cash Assistance/SNAP","With",0.120749665327979
"Franklin","Cash Assistance/SNAP","With",0.136826042726348
"Geary","Cash Assistance/SNAP","With",0.102412952919909
"Gove","Cash Assistance/SNAP","With",0.0470588235294118
"Graham","Cash Assistance/SNAP","With",0.0507910074937552
"Grant","Cash Assistance/SNAP","With",0.073882526782416
"Gray","Cash Assistance/SNAP","With",0.0525581395348837
"Greeley","Cash Assistance/SNAP","With",0.026694045174538
"Greenwood","Cash Assistance/SNAP","With",0.13385269121813
"Hamilton","Cash Assistance/SNAP","With",0.0711422845691383
"Harper","Cash Assistance/SNAP","With",0.0780928894369092
"Harvey","Cash Assistance/SNAP","With",0.098078197481776
"Haskell","Cash Assistance/SNAP","With",0.0480286738351254
"Hodgeman","Cash Assistance/SNAP","With",0.0406905055487053
"Jackson","Cash Assistance/SNAP","With",0.0732815754591933
"Jefferson","Cash Assistance/SNAP","With",0.0775656324582339
"Jewell","Cash Assistance/SNAP","With",0.0628053035589672
"Johnson","Cash Assistance/SNAP","With",0.0453455298427652
"Kearny","Cash Assistance/SNAP","With",0.0551124002900653
"Kingman","Cash Assistance/SNAP","With",0.0668662674650699
"Kiowa","Cash Assistance/SNAP","With",0.111632270168856
"Labette","Cash Assistance/SNAP","With",0.116367526447165
"Lane","Cash Assistance/SNAP","With",0.0819875776397515
"Leavenworth","Cash Assistance/SNAP","With",0.0823643773133435
"Lincoln","Cash Assistance/SNAP","With",0.0749063670411985
"Linn","Cash Assistance/SNAP","With",0.108799617407939
"Logan","Cash Assistance/SNAP","With",0.0627514078841512
"Lyon","Cash Assistance/SNAP","With",0.139692585895118
"Marion","Cash Assistance/SNAP","With",0.0734193011647255
"Marshall","Cash Assistance/SNAP","With",0.0596945858398889
"McPherson","Cash Assistance/SNAP","With",0.0672546857772878
"Meade","Cash Assistance/SNAP","With",0.0596221959858323
"Miami","Cash Assistance/SNAP","With",0.0906847133757962
"Mitchell","Cash Assistance/SNAP","With",0.0509862299962784
"Montgomery","Cash Assistance/SNAP","With",0.158541123930034
"Morris","Cash Assistance/SNAP","With",0.0876974231088944
"Morton","Cash Assistance/SNAP","With",0.0622371740958789
"Nemaha","Cash Assistance/SNAP","With",0.0599197924038688
"Neosho","Cash Assistance/SNAP","With",0.136004951261024
"Ness","Cash Assistance/SNAP","With",0.0542299349240781
"Norton","Cash Assistance/SNAP","With",0.098159509202454
"Osage","Cash Assistance/SNAP","With",0.114066102997694
"Osborne","Cash Assistance/SNAP","With",0.0708616780045351
"Ottawa","Cash Assistance/SNAP","With",0.0609707180104292
"Pawnee","Cash Assistance/SNAP","With",0.122257053291536
"Phillips","Cash Assistance/SNAP","With",0.0834397616006811
"Pottawatomie","Cash Assistance/SNAP","With",0.0673828125
"Pratt","Cash Assistance/SNAP","With",0.0625320348539211
"Rawlins","Cash Assistance/SNAP","With",0.0569306930693069
"Reno","Cash Assistance/SNAP","With",0.130174921305335
"Republic","Cash Assistance/SNAP","With",0.0874725274725275
"Rice","Cash Assistance/SNAP","With",0.0973975779438289
"Riley","Cash Assistance/SNAP","With",0.059848112744172
"Rooks","Cash Assistance/SNAP","With",0.07207615593835
"Rush","Cash Assistance/SNAP","With",0.0868102288021534
"Russell","Cash Assistance/SNAP","With",0.0960172892868169
"Saline","Cash Assistance/SNAP","With",0.108619919606967
"Scott","Cash Assistance/SNAP","With",0.00318761384335155
"Sedgwick","Cash Assistance/SNAP","With",0.127999958540845
"Seward","Cash Assistance/SNAP","With",0.137700534759358
"Shawnee","Cash Assistance/SNAP","With",0.127494115009528
"Sheridan","Cash Assistance/SNAP","With",0.0776699029126214
"Sherman","Cash Assistance/SNAP","With",0.159009332376167
"Smith","Cash Assistance/SNAP","With",0.0623875224955009
"Stafford","Cash Assistance/SNAP","With",0.10479375696767
"Stanton","Cash Assistance/SNAP","With",0.0451219512195122
"Stevens","Cash Assistance/SNAP","With",0.0592924763328351
"Sumner","Cash Assistance/SNAP","With",0.120338796612034
"Thomas","Cash Assistance/SNAP","With",0.074354127284184
"Trego","Cash Assistance/SNAP","With",0.0376344086021505
"Wabaunsee","Cash Assistance/SNAP","With",0.047976011994003
"Wallace","Cash Assistance/SNAP","With",0.0896
"Washington","Cash Assistance/SNAP","With",0.0606060606060606
"Wichita","Cash Assistance/SNAP","With",0.112676056338028
"Wilson","Cash Assistance/SNAP","With",0.152029716105068
"Woodson","Cash Assistance/SNAP","With",0.149575440888308
"Wyandotte","Cash Assistance/SNAP","With",0.186104977068116
"Allen","Cash Assistance/SNAP","Without",0.857519788918206
"Anderson","Cash Assistance/SNAP","Without",0.884451219512195
"Atchison","Cash Assistance/SNAP","Without",0.849825957235206
"Barber","Cash Assistance/SNAP","Without",0.930843008581524
"Barton","Cash Assistance/SNAP","Without",0.880152131611534
"Bourbon","Cash Assistance/SNAP","Without",0.862367491166078
"Brown","Cash Assistance/SNAP","Without",0.870794734275963
"Butler","Cash Assistance/SNAP","Without",0.907222016232027
"Chase","Cash Assistance/SNAP","Without",0.904504504504504
"Chautauqua","Cash Assistance/SNAP","Without",0.834296724470135
"Cherokee","Cash Assistance/SNAP","Without",0.853154732098147
"Cheyenne","Cash Assistance/SNAP","Without",0.955625990491284
"Clark","Cash Assistance/SNAP","Without",0.919093851132686
"Clay","Cash Assistance/SNAP","Without",0.94344092389695
"Cloud","Cash Assistance/SNAP","Without",0.896316851664985
"Coffey","Cash Assistance/SNAP","Without",0.903614457831325
"Comanche","Cash Assistance/SNAP","Without",0.943877551020408
"Cowley","Cash Assistance/SNAP","Without",0.864552893045003
"Crawford","Cash Assistance/SNAP","Without",0.87056090275473
"Decatur","Cash Assistance/SNAP","Without",0.896809232858113
"Dickinson","Cash Assistance/SNAP","Without",0.878164152390693
"Doniphan","Cash Assistance/SNAP","Without",0.897716307494371
"Douglas","Cash Assistance/SNAP","Without",0.923163118296782
"Edwards","Cash Assistance/SNAP","Without",0.913657770800628
"Elk","Cash Assistance/SNAP","Without",0.901273885350318
"Ellis","Cash Assistance/SNAP","Without",0.929011564109057
"Ellsworth","Cash Assistance/SNAP","Without",0.932301740812379
"Finney","Cash Assistance/SNAP","Without",0.862380952380952
"Ford","Cash Assistance/SNAP","Without",0.879250334672021
"Franklin","Cash Assistance/SNAP","Without",0.863173957273652
"Geary","Cash Assistance/SNAP","Without",0.897587047080091
"Gove","Cash Assistance/SNAP","Without",0.952941176470588
"Graham","Cash Assistance/SNAP","Without",0.949208992506245
"Grant","Cash Assistance/SNAP","Without",0.926117473217584
"Gray","Cash Assistance/SNAP","Without",0.947441860465116
"Greeley","Cash Assistance/SNAP","Without",0.973305954825462
"Greenwood","Cash Assistance/SNAP","Without",0.86614730878187
"Hamilton","Cash Assistance/SNAP","Without",0.928857715430862
"Harper","Cash Assistance/SNAP","Without",0.921907110563091
"Harvey","Cash Assistance/SNAP","Without",0.901921802518224
"Haskell","Cash Assistance/SNAP","Without",0.951971326164875
"Hodgeman","Cash Assistance/SNAP","Without",0.959309494451295
"Jackson","Cash Assistance/SNAP","Without",0.926718424540807
"Jefferson","Cash Assistance/SNAP","Without",0.922434367541766
"Jewell","Cash Assistance/SNAP","Without",0.937194696441033
"Johnson","Cash Assistance/SNAP","Without",0.954654470157235
"Kearny","Cash Assistance/SNAP","Without",0.944887599709935
"Kingman","Cash Assistance/SNAP","Without",0.93313373253493
"Kiowa","Cash Assistance/SNAP","Without",0.888367729831144
"Labette","Cash Assistance/SNAP","Without",0.883632473552835
"Lane","Cash Assistance/SNAP","Without",0.918012422360248
"Leavenworth","Cash Assistance/SNAP","Without",0.917635622686656
"Lincoln","Cash Assistance/SNAP","Without",0.925093632958802
"Linn","Cash Assistance/SNAP","Without",0.891200382592061
"Logan","Cash Assistance/SNAP","Without",0.937248592115849
"Lyon","Cash Assistance/SNAP","Without",0.860307414104882
"Marion","Cash Assistance/SNAP","Without",0.926580698835274
"Marshall","Cash Assistance/SNAP","Without",0.940305414160111
"McPherson","Cash Assistance/SNAP","Without",0.932745314222712
"Meade","Cash Assistance/SNAP","Without",0.940377804014168
"Miami","Cash Assistance/SNAP","Without",0.909315286624204
"Mitchell","Cash Assistance/SNAP","Without",0.949013770003722
"Montgomery","Cash Assistance/SNAP","Without",0.841458876069966
"Morris","Cash Assistance/SNAP","Without",0.912302576891106
"Morton","Cash Assistance/SNAP","Without",0.937762825904121
"Nemaha","Cash Assistance/SNAP","Without",0.940080207596131
"Neosho","Cash Assistance/SNAP","Without",0.863995048738976
"Ness","Cash Assistance/SNAP","Without",0.945770065075922
"Norton","Cash Assistance/SNAP","Without",0.901840490797546
"Osage","Cash Assistance/SNAP","Without",0.885933897002306
"Osborne","Cash Assistance/SNAP","Without",0.929138321995465
"Ottawa","Cash Assistance/SNAP","Without",0.939029281989571
"Pawnee","Cash Assistance/SNAP","Without",0.877742946708464
"Phillips","Cash Assistance/SNAP","Without",0.916560238399319
"Pottawatomie","Cash Assistance/SNAP","Without",0.9326171875
"Pratt","Cash Assistance/SNAP","Without",0.937467965146079
"Rawlins","Cash Assistance/SNAP","Without",0.943069306930693
"Reno","Cash Assistance/SNAP","Without",0.869825078694665
"Republic","Cash Assistance/SNAP","Without",0.912527472527473
"Rice","Cash Assistance/SNAP","Without",0.902602422056171
"Riley","Cash Assistance/SNAP","Without",0.940151887255828
"Rooks","Cash Assistance/SNAP","Without",0.92792384406165
"Rush","Cash Assistance/SNAP","Without",0.913189771197847
"Russell","Cash Assistance/SNAP","Without",0.903982710713183
"Saline","Cash Assistance/SNAP","Without",0.891380080393033
"Scott","Cash Assistance/SNAP","Without",0.996812386156648
"Sedgwick","Cash Assistance/SNAP","Without",0.872000041459155
"Seward","Cash Assistance/SNAP","Without",0.862299465240642
"Shawnee","Cash Assistance/SNAP","Without",0.872505884990472
"Sheridan","Cash Assistance/SNAP","Without",0.922330097087379
"Sherman","Cash Assistance/SNAP","Without",0.840990667623833
"Smith","Cash Assistance/SNAP","Without",0.937612477504499
"Stafford","Cash Assistance/SNAP","Without",0.89520624303233
"Stanton","Cash Assistance/SNAP","Without",0.954878048780488
"Stevens","Cash Assistance/SNAP","Without",0.940707523667165
"Sumner","Cash Assistance/SNAP","Without",0.879661203387966
"Thomas","Cash Assistance/SNAP","Without",0.925645872715816
"Trego","Cash Assistance/SNAP","Without",0.962365591397849
"Wabaunsee","Cash Assistance/SNAP","Without",0.952023988005997
"Wallace","Cash Assistance/SNAP","Without",0.9104
"Washington","Cash Assistance/SNAP","Without",0.939393939393939
"Wichita","Cash Assistance/SNAP","Without",0.887323943661972
"Wilson","Cash Assistance/SNAP","Without",0.847970283894932
"Woodson","Cash Assistance/SNAP","Without",0.850424559111692
"Wyandotte","Cash Assistance/SNAP","Without",0.813895022931884
"Allen","Citizen","Born Abroad",0.00466325204495069
"Anderson","Citizen","Born Abroad",0.00329280648429585
"Atchison","Citizen","Born Abroad",0.00270546503937955
"Barber","Citizen","Born Abroad",0.00356394129979036
"Barton","Citizen","Born Abroad",0.0043067265228658
"Bourbon","Citizen","Born Abroad",0.00216041047799082
"Brown","Citizen","Born Abroad",0.00708502024291498
"Butler","Citizen","Born Abroad",0.00531077891424076
"Chase","Citizen","Born Abroad",0.00440852314474651
"Chautauqua","Citizen","Born Abroad",0
"Cherokee","Citizen","Born Abroad",0.006061473844979
"Cheyenne","Citizen","Born Abroad",0.00745712155108128
"Clark","Citizen","Born Abroad",0.00233100233100233
"Clay","Citizen","Born Abroad",0.00783754898468115
"Cloud","Citizen","Born Abroad",0.0145625870007495
"Coffey","Citizen","Born Abroad",0.006029794277607
"Comanche","Citizen","Born Abroad",0.00597014925373134
"Cowley","Citizen","Born Abroad",0.00504448571190998
"Crawford","Citizen","Born Abroad",0.00447791573376756
