"county","Variable","col","Value"
"Allen","Cash Assistance/SNAP","With",756
"Anderson","Cash Assistance/SNAP","With",379
"Atchison","Cash Assistance/SNAP","With",906
"Barber","Cash Assistance/SNAP","With",137
"Barton","Cash Assistance/SNAP","With",1355
"Bourbon","Cash Assistance/SNAP","With",779
"Brown","Cash Assistance/SNAP","With",530
"Butler","Cash Assistance/SNAP","With",2252
"Chase","Cash Assistance/SNAP","With",106
"Chautauqua","Cash Assistance/SNAP","With",258
"Cherokee","Cash Assistance/SNAP","With",1173
"Cheyenne","Cash Assistance/SNAP","With",56
"Clark","Cash Assistance/SNAP","With",75
"Clay","Cash Assistance/SNAP","With",191
"Cloud","Cash Assistance/SNAP","With",411
"Coffey","Cash Assistance/SNAP","With",344
"Comanche","Cash Assistance/SNAP","With",44
"Cowley","Cash Assistance/SNAP","With",1854
"Crawford","Cash Assistance/SNAP","With",1950
"Decatur","Cash Assistance/SNAP","With",152
"Dickinson","Cash Assistance/SNAP","With",953
"Doniphan","Cash Assistance/SNAP","With",318
"Douglas","Cash Assistance/SNAP","With",3360
"Edwards","Cash Assistance/SNAP","With",110
"Elk","Cash Assistance/SNAP","With",124
"Ellis","Cash Assistance/SNAP","With",841
"Ellsworth","Cash Assistance/SNAP","With",175
"Finney","Cash Assistance/SNAP","With",1734
"Ford","Cash Assistance/SNAP","With",1353
"Franklin","Cash Assistance/SNAP","With",1345
"Geary","Cash Assistance/SNAP","With",1303
"Gove","Cash Assistance/SNAP","With",56
"Graham","Cash Assistance/SNAP","With",61
"Grant","Cash Assistance/SNAP","With",200
"Gray","Cash Assistance/SNAP","With",113
"Greeley","Cash Assistance/SNAP","With",13
"Greenwood","Cash Assistance/SNAP","With",378
"Hamilton","Cash Assistance/SNAP","With",71
"Harper","Cash Assistance/SNAP","With",190
"Harvey","Cash Assistance/SNAP","With",1332
"Haskell","Cash Assistance/SNAP","With",67
"Hodgeman","Cash Assistance/SNAP","With",33
"Jackson","Cash Assistance/SNAP","With",387
"Jefferson","Cash Assistance/SNAP","With",585
"Jewell","Cash Assistance/SNAP","With",90
"Johnson","Cash Assistance/SNAP","With",9964
"Kearny","Cash Assistance/SNAP","With",76
"Kingman","Cash Assistance/SNAP","With",201
"Kiowa","Cash Assistance/SNAP","With",119
"Labette","Cash Assistance/SNAP","With",979
"Lane","Cash Assistance/SNAP","With",66
"Leavenworth","Cash Assistance/SNAP","With",2203
"Lincoln","Cash Assistance/SNAP","With",100
"Linn","Cash Assistance/SNAP","With",455
"Logan","Cash Assistance/SNAP","With",78
"Lyon","Cash Assistance/SNAP","With",1854
"Marion","Cash Assistance/SNAP","With",353
"Marshall","Cash Assistance/SNAP","With",258
"McPherson","Cash Assistance/SNAP","With",793
"Meade","Cash Assistance/SNAP","With",101
"Miami","Cash Assistance/SNAP","With",1139
"Mitchell","Cash Assistance/SNAP","With",137
"Montgomery","Cash Assistance/SNAP","With",2130
"Morris","Cash Assistance/SNAP","With",211
"Morton","Cash Assistance/SNAP","With",74
"Nemaha","Cash Assistance/SNAP","With",254
"Neosho","Cash Assistance/SNAP","With",879
"Ness","Cash Assistance/SNAP","With",75
"Norton","Cash Assistance/SNAP","With",208
"Osage","Cash Assistance/SNAP","With",742
"Osborne","Cash Assistance/SNAP","With",125
"Ottawa","Cash Assistance/SNAP","With",152
"Pawnee","Cash Assistance/SNAP","With",312
"Phillips","Cash Assistance/SNAP","With",196
"Pottawatomie","Cash Assistance/SNAP","With",552
"Pratt","Cash Assistance/SNAP","With",244
"Rawlins","Cash Assistance/SNAP","With",69
"Reno","Cash Assistance/SNAP","With",3267
"Republic","Cash Assistance/SNAP","With",199
"Rice","Cash Assistance/SNAP","With",378
"Riley","Cash Assistance/SNAP","With",1584
"Rooks","Cash Assistance/SNAP","With",159
"Rush","Cash Assistance/SNAP","With",129
"Russell","Cash Assistance/SNAP","With",311
"Saline","Cash Assistance/SNAP","With",2432
"Scott","Cash Assistance/SNAP","With",7
"Sedgwick","Cash Assistance/SNAP","With",24699
"Seward","Cash Assistance/SNAP","With",1030
"Shawnee","Cash Assistance/SNAP","With",9099
"Sheridan","Cash Assistance/SNAP","With",88
"Sherman","Cash Assistance/SNAP","With",443
"Smith","Cash Assistance/SNAP","With",104
"Stafford","Cash Assistance/SNAP","With",188
"Stanton","Cash Assistance/SNAP","With",37
"Stevens","Cash Assistance/SNAP","With",119
"Sumner","Cash Assistance/SNAP","With",1094
"Thomas","Cash Assistance/SNAP","With",236
"Trego","Cash Assistance/SNAP","With",49
"Wabaunsee","Cash Assistance/SNAP","With",128
"Wallace","Cash Assistance/SNAP","With",56
"Washington","Cash Assistance/SNAP","With",148
"Wichita","Cash Assistance/SNAP","With",88
"Wilson","Cash Assistance/SNAP","With",573
"Woodson","Cash Assistance/SNAP","With",229
"Wyandotte","Cash Assistance/SNAP","With",10956
"Allen","Cash Assistance/SNAP","Without",4550
"Anderson","Cash Assistance/SNAP","Without",2901
"Atchison","Cash Assistance/SNAP","Without",5127
"Barber","Cash Assistance/SNAP","Without",1844
"Barton","Cash Assistance/SNAP","Without",9951
"Bourbon","Cash Assistance/SNAP","Without",4881
"Brown","Cash Assistance/SNAP","Without",3572
"Butler","Cash Assistance/SNAP","Without",22021
"Chase","Cash Assistance/SNAP","Without",1004
"Chautauqua","Cash Assistance/SNAP","Without",1299
"Cherokee","Cash Assistance/SNAP","Without",6815
"Cheyenne","Cash Assistance/SNAP","Without",1206
"Clark","Cash Assistance/SNAP","Without",852
"Clay","Cash Assistance/SNAP","Without",3186
"Cloud","Cash Assistance/SNAP","Without",3553
"Coffey","Cash Assistance/SNAP","Without",3225
"Comanche","Cash Assistance/SNAP","Without",740
"Cowley","Cash Assistance/SNAP","Without",11834
"Crawford","Cash Assistance/SNAP","Without",13115
"Decatur","Cash Assistance/SNAP","Without",1321
"Dickinson","Cash Assistance/SNAP","Without",6869
"Doniphan","Cash Assistance/SNAP","Without",2791
"Douglas","Cash Assistance/SNAP","Without",40369
"Edwards","Cash Assistance/SNAP","Without",1164
"Elk","Cash Assistance/SNAP","Without",1132
"Ellis","Cash Assistance/SNAP","Without",11006
"Ellsworth","Cash Assistance/SNAP","Without",2410
"Finney","Cash Assistance/SNAP","Without",10866
"Ford","Cash Assistance/SNAP","Without",9852
"Franklin","Cash Assistance/SNAP","Without",8485
"Geary","Cash Assistance/SNAP","Without",11420
"Gove","Cash Assistance/SNAP","Without",1134
"Graham","Cash Assistance/SNAP","Without",1140
"Grant","Cash Assistance/SNAP","Without",2507
"Gray","Cash Assistance/SNAP","Without",2037
"Greeley","Cash Assistance/SNAP","Without",474
"Greenwood","Cash Assistance/SNAP","Without",2446
"Hamilton","Cash Assistance/SNAP","Without",927
"Harper","Cash Assistance/SNAP","Without",2243
"Harvey","Cash Assistance/SNAP","Without",12249
"Haskell","Cash Assistance/SNAP","Without",1328
"Hodgeman","Cash Assistance/SNAP","Without",778
"Jackson","Cash Assistance/SNAP","Without",4894
"Jefferson","Cash Assistance/SNAP","Without",6957
"Jewell","Cash Assistance/SNAP","Without",1343
"Johnson","Cash Assistance/SNAP","Without",209771
"Kearny","Cash Assistance/SNAP","Without",1303
"Kingman","Cash Assistance/SNAP","Without",2805
"Kiowa","Cash Assistance/SNAP","Without",947
"Labette","Cash Assistance/SNAP","Without",7434
"Lane","Cash Assistance/SNAP","Without",739
"Leavenworth","Cash Assistance/SNAP","Without",24544
"Lincoln","Cash Assistance/SNAP","Without",1235
"Linn","Cash Assistance/SNAP","Without",3727
"Logan","Cash Assistance/SNAP","Without",1165
"Lyon","Cash Assistance/SNAP","Without",11418
"Marion","Cash Assistance/SNAP","Without",4455
"Marshall","Cash Assistance/SNAP","Without",4064
"McPherson","Cash Assistance/SNAP","Without",10998
"Meade","Cash Assistance/SNAP","Without",1593
"Miami","Cash Assistance/SNAP","Without",11421
"Mitchell","Cash Assistance/SNAP","Without",2550
"Montgomery","Cash Assistance/SNAP","Without",11305
"Morris","Cash Assistance/SNAP","Without",2195
"Morton","Cash Assistance/SNAP","Without",1115
"Nemaha","Cash Assistance/SNAP","Without",3985
"Neosho","Cash Assistance/SNAP","Without",5584
"Ness","Cash Assistance/SNAP","Without",1308
"Norton","Cash Assistance/SNAP","Without",1911
"Osage","Cash Assistance/SNAP","Without",5763
"Osborne","Cash Assistance/SNAP","Without",1639
"Ottawa","Cash Assistance/SNAP","Without",2341
"Pawnee","Cash Assistance/SNAP","Without",2240
"Phillips","Cash Assistance/SNAP","Without",2153
"Pottawatomie","Cash Assistance/SNAP","Without",7640
"Pratt","Cash Assistance/SNAP","Without",3658
"Rawlins","Cash Assistance/SNAP","Without",1143
"Reno","Cash Assistance/SNAP","Without",21830
"Republic","Cash Assistance/SNAP","Without",2076
"Rice","Cash Assistance/SNAP","Without",3503
"Riley","Cash Assistance/SNAP","Without",24883
"Rooks","Cash Assistance/SNAP","Without",2047
"Rush","Cash Assistance/SNAP","Without",1357
"Russell","Cash Assistance/SNAP","Without",2928
"Saline","Cash Assistance/SNAP","Without",19958
"Scott","Cash Assistance/SNAP","Without",2189
"Sedgwick","Cash Assistance/SNAP","Without",168262
"Seward","Cash Assistance/SNAP","Without",6450
"Shawnee","Cash Assistance/SNAP","Without",62269
