desc_party,county,date,count
Democratic,Allen,2014-12-22,1694
Libertarian,Allen,2014-12-22,55
Republican,Allen,2014-12-22,4126
Unaffiliated,Allen,2014-12-22,2858
Democratic,Anderson,2014-12-22,1287
Libertarian,Anderson,2014-12-22,49
Republican,Anderson,2014-12-22,2142
Unaffiliated,Anderson,2014-12-22,1902
Democratic,Atchison,2014-12-22,3331
Libertarian,Atchison,2014-12-22,54
Republican,Atchison,2014-12-22,3741
Unaffiliated,Atchison,2014-12-22,3831
Democratic,Barber,2014-12-22,494
Libertarian,Barber,2014-12-22,13
Republican,Barber,2014-12-22,2067
Unaffiliated,Barber,2014-12-22,455
Democratic,Barton,2014-12-22,3003
Libertarian,Barton,2014-12-22,95
Republican,Barton,2014-12-22,9564
Unaffiliated,Barton,2014-12-22,4713
Democratic,Bourbon,2014-12-22,2916
Libertarian,Bourbon,2014-12-22,69
Republican,Bourbon,2014-12-22,4745
Unaffiliated,Bourbon,2014-12-22,3680
Democratic,Brown,2014-12-22,1070
Libertarian,Brown,2014-12-22,31
Republican,Brown,2014-12-22,3407
Unaffiliated,Brown,2014-12-22,1436
Democratic,Butler,2014-12-22,7323
Libertarian,Butler,2014-12-22,282
Republican,Butler,2014-12-22,20525
Unaffiliated,Butler,2014-12-22,12363
Democratic,Chase,2014-12-22,286
Libertarian,Chase,2014-12-22,10
Republican,Chase,2014-12-22,1186
Unaffiliated,Chase,2014-12-22,329
Democratic,Chautauqua,2014-12-22,287
Libertarian,Chautauqua,2014-12-22,10
Republican,Chautauqua,2014-12-22,1591
Unaffiliated,Chautauqua,2014-12-22,400
Democratic,Cherokee,2014-12-22,5003
Libertarian,Cherokee,2014-12-22,122
Republican,Cherokee,2014-12-22,6079
Unaffiliated,Cherokee,2014-12-22,5420
Democratic,Cheyenne,2014-12-22,228
Libertarian,Cheyenne,2014-12-22,8
Republican,Cheyenne,2014-12-22,1400
Unaffiliated,Cheyenne,2014-12-22,246
Democratic,Clark,2014-12-22,246
Libertarian,Clark,2014-12-22,7
Republican,Clark,2014-12-22,951
Unaffiliated,Clark,2014-12-22,271
Democratic,Clay,2014-12-22,607
Libertarian,Clay,2014-12-22,39
Republican,Clay,2014-12-22,3840
Unaffiliated,Clay,2014-12-22,1259
Democratic,Cloud,2014-12-22,1066
Libertarian,Cloud,2014-12-22,37
Republican,Cloud,2014-12-22,3556
Unaffiliated,Cloud,2014-12-22,1458
Democratic,Coffey,2014-12-22,965
Libertarian,Coffey,2014-12-22,40
Republican,Coffey,2014-12-22,3621
Unaffiliated,Coffey,2014-12-22,1440
Democratic,Comanche,2014-12-22,171
Libertarian,Comanche,2014-12-22,5
Republican,Comanche,2014-12-22,809
Unaffiliated,Comanche,2014-12-22,148
Democratic,Cowley,2014-12-22,5115
Libertarian,Cowley,2014-12-22,147
Republican,Cowley,2014-12-22,9405
Unaffiliated,Cowley,2014-12-22,6097
Democratic,Crawford,2014-12-22,8032
Libertarian,Crawford,2014-12-22,179
Republican,Crawford,2014-12-22,7500
Unaffiliated,Crawford,2014-12-22,8328
Democratic,Decatur,2014-12-22,312
Libertarian,Decatur,2014-12-22,9
Republican,Decatur,2014-12-22,1332
Unaffiliated,Decatur,2014-12-22,386
Democratic,Dickinson,2014-12-22,1951
Libertarian,Dickinson,2014-12-22,89
Republican,Dickinson,2014-12-22,7385
Unaffiliated,Dickinson,2014-12-22,3405
Democratic,Doniphan,2014-12-22,799
Libertarian,Doniphan,2014-12-22,28
Republican,Doniphan,2014-12-22,2900
Unaffiliated,Doniphan,2014-12-22,1158
Democratic,Douglas,2014-12-22,26328
Libertarian,Douglas,2014-12-22,868
Republican,Douglas,2014-12-22,21984
Unaffiliated,Douglas,2014-12-22,28208
Democratic,Edwards,2014-12-22,324
Libertarian,Edwards,2014-12-22,7
Republican,Edwards,2014-12-22,1219
Unaffiliated,Edwards,2014-12-22,357
Democratic,Elk,2014-12-22,384
Libertarian,Elk,2014-12-22,3
Republican,Elk,2014-12-22,1138
Unaffiliated,Elk,2014-12-22,325
Democratic,Ellis,2014-12-22,4502
Libertarian,Ellis,2014-12-22,160
Republican,Ellis,2014-12-22,8258
Unaffiliated,Ellis,2014-12-22,5171
Democratic,Ellsworth,2014-12-22,894
Libertarian,Ellsworth,2014-12-22,23
Republican,Ellsworth,2014-12-22,2253
Unaffiliated,Ellsworth,2014-12-22,942
Democratic,Finney,2014-12-22,3470
Libertarian,Finney,2014-12-22,100
Republican,Finney,2014-12-22,7779
Unaffiliated,Finney,2014-12-22,5994
Democratic,Ford,2014-12-22,3518
Libertarian,Ford,2014-12-22,121
Republican,Ford,2014-12-22,6451
Unaffiliated,Ford,2014-12-22,5322
Democratic,Franklin,2014-12-22,3660
Libertarian,Franklin,2014-12-22,138
Republican,Franklin,2014-12-22,8779
Unaffiliated,Franklin,2014-12-22,5015
Democratic,Geary,2014-12-22,4087
Libertarian,Geary,2014-12-22,89
Republican,Geary,2014-12-22,5241
Unaffiliated,Geary,2014-12-22,4748
Democratic,Gove,2014-12-22,302
Libertarian,Gove,2014-12-22,2
Republican,Gove,2014-12-22,1252
Unaffiliated,Gove,2014-12-22,344
Democratic,Graham,2014-12-22,265
Libertarian,Graham,2014-12-22,11
Republican,Graham,2014-12-22,1369
Unaffiliated,Graham,2014-12-22,322
Democratic,Grant,2014-12-22,494
Libertarian,Grant,2014-12-22,23
Republican,Grant,2014-12-22,2172
Unaffiliated,Grant,2014-12-22,763
Democratic,Gray,2014-12-22,480
Libertarian,Gray,2014-12-22,24
Republican,Gray,2014-12-22,1701
Unaffiliated,Gray,2014-12-22,701
Democratic,Greeley,2014-12-22,77
Libertarian,Greeley,2014-12-22,3
Republican,Greeley,2014-12-22,737
Unaffiliated,Greeley,2014-12-22,112
Democratic,Greenwood,2014-12-22,612
Libertarian,Greenwood,2014-12-22,11
Republican,Greenwood,2014-12-22,2390
Unaffiliated,Greenwood,2014-12-22,1953
Democratic,Hamilton,2014-12-22,157
Libertarian,Hamilton,2014-12-22,4
Republican,Hamilton,2014-12-22,909
Unaffiliated,Hamilton,2014-12-22,245
Democratic,Harper,2014-12-22,755
Libertarian,Harper,2014-12-22,22
Republican,Harper,2014-12-22,2465
Unaffiliated,Harper,2014-12-22,1024
Democratic,Harvey,2014-12-22,4313
Libertarian,Harvey,2014-12-22,129
Republican,Harvey,2014-12-22,10956
Unaffiliated,Harvey,2014-12-22,6286
Democratic,Haskell,2014-12-22,286
Libertarian,Haskell,2014-12-22,6
Republican,Haskell,2014-12-22,1515
Unaffiliated,Haskell,2014-12-22,586
Democratic,Hodgeman,2014-12-22,203
Libertarian,Hodgeman,2014-12-22,1
Republican,Hodgeman,2014-12-22,982
Unaffiliated,Hodgeman,2014-12-22,219
Democratic,Jackson,2014-12-22,2027
Libertarian,Jackson,2014-12-22,44
Republican,Jackson,2014-12-22,4286
Unaffiliated,Jackson,2014-12-22,2667
Democratic,Jefferson,2014-12-22,2882
Libertarian,Jefferson,2014-12-22,87
Republican,Jefferson,2014-12-22,5843
Unaffiliated,Jefferson,2014-12-22,4278
Democratic,Jewell,2014-12-22,277
Libertarian,Jewell,2014-12-22,12
Republican,Jewell,2014-12-22,1454
Unaffiliated,Jewell,2014-12-22,482
Democratic,Johnson,2014-12-22,83369
Libertarian,Johnson,2014-12-22,3350
Republican,Johnson,2014-12-22,172247
Unaffiliated,Johnson,2014-12-22,113238
Democratic,Kearny,2014-12-22,297
Libertarian,Kearny,2014-12-22,5
Republican,Kearny,2014-12-22,1322
Unaffiliated,Kearny,2014-12-22,501
Democratic,Kingman,2014-12-22,930
Libertarian,Kingman,2014-12-22,26
Republican,Kingman,2014-12-22,3012
Unaffiliated,Kingman,2014-12-22,1481
Democratic,Kiowa,2014-12-22,189
Libertarian,Kiowa,2014-12-22,2
Republican,Kiowa,2014-12-22,1149
Unaffiliated,Kiowa,2014-12-22,251
Democratic,Labette,2014-12-22,4076
Libertarian,Labette,2014-12-22,129
Republican,Labette,2014-12-22,5787
Unaffiliated,Labette,2014-12-22,6083
Democratic,Lane,2014-12-22,153
Libertarian,Lane,2014-12-22,7
Republican,Lane,2014-12-22,970
Unaffiliated,Lane,2014-12-22,176
Democratic,Leavenworth,2014-12-22,12638
Libertarian,Leavenworth,2014-12-22,378
Republican,Leavenworth,2014-12-22,17993
Unaffiliated,Leavenworth,2014-12-22,16472
Democratic,Lincoln,2014-12-22,262
Libertarian,Lincoln,2014-12-22,19
Republican,Lincoln,2014-12-22,1467
Unaffiliated,Lincoln,2014-12-22,471
Democratic,Linn,2014-12-22,1390
Libertarian,Linn,2014-12-22,53
Republican,Linn,2014-12-22,3779
Unaffiliated,Linn,2014-12-22,2065
Democratic,Logan,2014-12-22,223
Libertarian,Logan,2014-12-22,6
Republican,Logan,2014-12-22,1278
Unaffiliated,Logan,2014-12-22,261
Democratic,Lyon,2014-12-22,4830
Libertarian,Lyon,2014-12-22,164
Republican,Lyon,2014-12-22,7822
Unaffiliated,Lyon,2014-12-22,6961
Democratic,Marion,2014-12-22,1201
Libertarian,Marion,2014-12-22,39
Republican,Marion,2014-12-22,4799
Unaffiliated,Marion,2014-12-22,1815
Democratic,Marshall,2014-12-22,1551
Libertarian,Marshall,2014-12-22,21
Republican,Marshall,2014-12-22,3259
Unaffiliated,Marshall,2014-12-22,1616
Democratic,McPherson,2014-12-22,2590
Libertarian,McPherson,2014-12-22,126
Republican,McPherson,2014-12-22,9713
Unaffiliated,McPherson,2014-12-22,3902
Democratic,Meade,2014-12-22,380
Libertarian,Meade,2014-12-22,18
Republican,Meade,2014-12-22,2098
Unaffiliated,Meade,2014-12-22,657
Democratic,Miami,2014-12-22,4504
Libertarian,Miami,2014-12-22,167
Republican,Miami,2014-12-22,10316
Unaffiliated,Miami,2014-12-22,6578
Democratic,Mitchell,2014-12-22,668
Libertarian,Mitchell,2014-12-22,9
Republican,Mitchell,2014-12-22,2614
Unaffiliated,Mitchell,2014-12-22,910
Democratic,Montgomery,2014-12-22,4552
Libertarian,Montgomery,2014-12-22,136
Republican,Montgomery,2014-12-22,10090
Unaffiliated,Montgomery,2014-12-22,4512
Democratic,Morris,2014-12-22,753
Libertarian,Morris,2014-12-22,27
Republican,Morris,2014-12-22,2128
Unaffiliated,Morris,2014-12-22,919
Democratic,Morton,2014-12-22,282
Libertarian,Morton,2014-12-22,11
Republican,Morton,2014-12-22,1363
Unaffiliated,Morton,2014-12-22,313
Democratic,Nemaha,2014-12-22,1608
Libertarian,Nemaha,2014-12-22,27
Republican,Nemaha,2014-12-22,3706
Unaffiliated,Nemaha,2014-12-22,1786
Democratic,Neosho,2014-12-22,2392
Libertarian,Neosho,2014-12-22,104
Republican,Neosho,2014-12-22,5172
Unaffiliated,Neosho,2014-12-22,3686
Democratic,Ness,2014-12-22,330
Libertarian,Ness,2014-12-22,5
Republican,Ness,2014-12-22,1337
Unaffiliated,Ness,2014-12-22,359
Democratic,Norton,2014-12-22,441
Libertarian,Norton,2014-12-22,13
Republican,Norton,2014-12-22,2140
Unaffiliated,Norton,2014-12-22,738
Democratic,Osage,2014-12-22,2258
Libertarian,Osage,2014-12-22,80
Republican,Osage,2014-12-22,5147
Unaffiliated,Osage,2014-12-22,3143
Democratic,Osborne,2014-12-22,507
Libertarian,Osborne,2014-12-22,10
Republican,Osborne,2014-12-22,1619
Unaffiliated,Osborne,2014-12-22,673
Democratic,Ottawa,2014-12-22,536
Libertarian,Ottawa,2014-12-22,34
Republican,Ottawa,2014-12-22,2738
Unaffiliated,Ottawa,2014-12-22,1070
Democratic,Pawnee,2014-12-22,785
Libertarian,Pawnee,2014-12-22,21
Republican,Pawnee,2014-12-22,2268
Unaffiliated,Pawnee,2014-12-22,979
Democratic,Phillips,2014-12-22,397
Libertarian,Phillips,2014-12-22,14
Republican,Phillips,2014-12-22,2679
Unaffiliated,Phillips,2014-12-22,661
Democratic,Pottawatomie,2014-12-22,2101
Libertarian,Pottawatomie,2014-12-22,101
Republican,Pottawatomie,2014-12-22,8446
Unaffiliated,Pottawatomie,2014-12-22,3724
Democratic,Pratt,2014-12-22,1065
Libertarian,Pratt,2014-12-22,38
Republican,Pratt,2014-12-22,3610
Unaffiliated,Pratt,2014-12-22,1294
Democratic,Rawlins,2014-12-22,244
Libertarian,Rawlins,2014-12-22,11
Republican,Rawlins,2014-12-22,1500
Unaffiliated,Rawlins,2014-12-22,355
Democratic,Reno,2014-12-22,9534
Libertarian,Reno,2014-12-22,322
Republican,Reno,2014-12-22,18851
Unaffiliated,Reno,2014-12-22,12902
Democratic,Republic,2014-12-22,540
Libertarian,Republic,2014-12-22,17
Republican,Republic,2014-12-22,2539
Unaffiliated,Republic,2014-12-22,666
Democratic,Rice,2014-12-22,1062
Libertarian,Rice,2014-12-22,49
Republican,Rice,2014-12-22,3334
Unaffiliated,Rice,2014-12-22,1567
Democratic,Riley,2014-12-22,7732
Libertarian,Riley,2014-12-22,356
Republican,Riley,2014-12-22,14559
Unaffiliated,Riley,2014-12-22,11827
Democratic,Rooks,2014-12-22,392
Libertarian,Rooks,2014-12-22,8
Republican,Rooks,2014-12-22,2400
Unaffiliated,Rooks,2014-12-22,599
Democratic,Rush,2014-12-22,423
Libertarian,Rush,2014-12-22,7
Republican,Rush,2014-12-22,1411
Unaffiliated,Rush,2014-12-22,468
Democratic,Russell,2014-12-22,729
Libertarian,Russell,2014-12-22,20
Republican,Russell,2014-12-22,2895
Unaffiliated,Russell,2014-12-22,817
Democratic,Saline,2014-12-22,6821
Libertarian,Saline,2014-12-22,318
Republican,Saline,2014-12-22,16219
Unaffiliated,Saline,2014-12-22,12017
Democratic,Scott,2014-12-22,298
Libertarian,Scott,2014-12-22,13
Republican,Scott,2014-12-22,2244
Unaffiliated,Scott,2014-12-22,637
Democratic,Sedgwick,2014-12-22,67316
Libertarian,Sedgwick,2014-12-22,2219
Republican,Sedgwick,2014-12-22,112842
Unaffiliated,Sedgwick,2014-12-22,100009
Democratic,Seward,2014-12-22,2016
Libertarian,Seward,2014-12-22,84
Republican,Seward,2014-12-22,4843
Unaffiliated,Seward,2014-12-22,3153
Democratic,Shawnee,2014-12-22,33364
Libertarian,Shawnee,2014-12-22,796
Republican,Shawnee,2014-12-22,41477
Unaffiliated,Shawnee,2014-12-22,32263
Democratic,Sheridan,2014-12-22,310
Libertarian,Sheridan,2014-12-22,5
Republican,Sheridan,2014-12-22,1079
Unaffiliated,Sheridan,2014-12-22,380
Democratic,Sherman,2014-12-22,582
Libertarian,Sherman,2014-12-22,26
Republican,Sherman,2014-12-22,2444
Unaffiliated,Sherman,2014-12-22,920
Democratic,Smith,2014-12-22,457
Libertarian,Smith,2014-12-22,4
Republican,Smith,2014-12-22,2106
Unaffiliated,Smith,2014-12-22,474
Democratic,Stafford,2014-12-22,410
Libertarian,Stafford,2014-12-22,17
Republican,Stafford,2014-12-22,1750
Unaffiliated,Stafford,2014-12-22,505
Democratic,Stanton,2014-12-22,205
Libertarian,Stanton,2014-12-22,18
Republican,Stanton,2014-12-22,801
Unaffiliated,Stanton,2014-12-22,215
Democratic,Stevens,2014-12-22,317
Libertarian,Stevens,2014-12-22,16
Republican,Stevens,2014-12-22,2199
Unaffiliated,Stevens,2014-12-22,388
Democratic,Sumner,2014-12-22,3493
Libertarian,Sumner,2014-12-22,131
Republican,Sumner,2014-12-22,7565
Unaffiliated,Sumner,2014-12-22,5032
Democratic,Thomas,2014-12-22,640
Libertarian,Thomas,2014-12-22,38
Republican,Thomas,2014-12-22,3070
Unaffiliated,Thomas,2014-12-22,1156
Democratic,Trego,2014-12-22,446
Libertarian,Trego,2014-12-22,14
Republican,Trego,2014-12-22,1236
Unaffiliated,Trego,2014-12-22,535
Democratic,Wabaunsee,2014-12-22,781
Libertarian,Wabaunsee,2014-12-22,30
Republican,Wabaunsee,2014-12-22,2755
Unaffiliated,Wabaunsee,2014-12-22,1047
Democratic,Wallace,2014-12-22,89
Libertarian,Wallace,2014-12-22,4
Republican,Wallace,2014-12-22,865
Unaffiliated,Wallace,2014-12-22,118
Democratic,Washington,2014-12-22,370
Libertarian,Washington,2014-12-22,13
Republican,Washington,2014-12-22,2953
Unaffiliated,Washington,2014-12-22,554
Democratic,Wichita,2014-12-22,173
Libertarian,Wichita,2014-12-22,6
Republican,Wichita,2014-12-22,841
Unaffiliated,Wichita,2014-12-22,375
Democratic,Wilson,2014-12-22,758
Libertarian,Wilson,2014-12-22,32
Republican,Wilson,2014-12-22,3226
Unaffiliated,Wilson,2014-12-22,1043
Democratic,Woodson,2014-12-22,379
Libertarian,Woodson,2014-12-22,11
Republican,Woodson,2014-12-22,1348
Unaffiliated,Woodson,2014-12-22,481
Democratic,Wyandotte,2014-12-22,42830
Libertarian,Wyandotte,2014-12-22,540
Republican,Wyandotte,2014-12-22,13696
Unaffiliated,Wyandotte,2014-12-22,26932
Democratic,Allen,2015-06-11,1635
Libertarian,Allen,2015-06-11,57
Republican,Allen,2015-06-11,4046
Unaffiliated,Allen,2015-06-11,2775
Democratic,Anderson,2015-06-11,1273
Libertarian,Anderson,2015-06-11,50
Republican,Anderson,2015-06-11,2135
Unaffiliated,Anderson,2015-06-11,1919
Democratic,Atchison,2015-06-11,3258
Libertarian,Atchison,2015-06-11,54
Republican,Atchison,2015-06-11,3722
Unaffiliated,Atchison,2015-06-11,3902
Democratic,Barber,2015-06-11,485
Libertarian,Barber,2015-06-11,12
Republican,Barber,2015-06-11,2037
Unaffiliated,Barber,2015-06-11,455
Democratic,Barton,2015-06-11,2983
Libertarian,Barton,2015-06-11,95
Republican,Barton,2015-06-11,9523
Unaffiliated,Barton,2015-06-11,4770
Democratic,Bourbon,2015-06-11,2886
Libertarian,Bourbon,2015-06-11,72
Republican,Bourbon,2015-06-11,4745
Unaffiliated,Bourbon,2015-06-11,3744
Democratic,Brown,2015-06-11,1055
Libertarian,Brown,2015-06-11,31
Republican,Brown,2015-06-11,3372
Unaffiliated,Brown,2015-06-11,1471
Democratic,Butler,2015-06-11,7108
Libertarian,Butler,2015-06-11,279
Republican,Butler,2015-06-11,20219
Unaffiliated,Butler,2015-06-11,12290
Democratic,Chase,2015-06-11,276
Libertarian,Chase,2015-06-11,13
Republican,Chase,2015-06-11,1146
Unaffiliated,Chase,2015-06-11,323
Democratic,Chautauqua,2015-06-11,282
Libertarian,Chautauqua,2015-06-11,11
Republican,Chautauqua,2015-06-11,1570
Unaffiliated,Chautauqua,2015-06-11,414
Democratic,Cherokee,2015-06-11,4947
Libertarian,Cherokee,2015-06-11,125
Republican,Cherokee,2015-06-11,6061
Unaffiliated,Cherokee,2015-06-11,5592
Democratic,Cheyenne,2015-06-11,224
Libertarian,Cheyenne,2015-06-11,9
Republican,Cheyenne,2015-06-11,1388
Unaffiliated,Cheyenne,2015-06-11,254
Democratic,Clark,2015-06-11,250
Libertarian,Clark,2015-06-11,8
Republican,Clark,2015-06-11,949
Unaffiliated,Clark,2015-06-11,274
Democratic,Clay,2015-06-11,605
Libertarian,Clay,2015-06-11,42
Republican,Clay,2015-06-11,3793
Unaffiliated,Clay,2015-06-11,1275
Democratic,Cloud,2015-06-11,1050
Libertarian,Cloud,2015-06-11,36
Republican,Cloud,2015-06-11,3520
Unaffiliated,Cloud,2015-06-11,1456
Democratic,Coffey,2015-06-11,959
Libertarian,Coffey,2015-06-11,44
Republican,Coffey,2015-06-11,3575
Unaffiliated,Coffey,2015-06-11,1469
Democratic,Comanche,2015-06-11,170
Libertarian,Comanche,2015-06-11,4
Republican,Comanche,2015-06-11,807
Unaffiliated,Comanche,2015-06-11,143
Democratic,Cowley,2015-06-11,4730
Libertarian,Cowley,2015-06-11,127
Republican,Cowley,2015-06-11,9023
Unaffiliated,Cowley,2015-06-11,5598
Democratic,Crawford,2015-06-11,7980
Libertarian,Crawford,2015-06-11,175
Republican,Crawford,2015-06-11,7514
Unaffiliated,Crawford,2015-06-11,8453
Democratic,Decatur,2015-06-11,308
Libertarian,Decatur,2015-06-11,11
Republican,Decatur,2015-06-11,1341
Unaffiliated,Decatur,2015-06-11,406
Democratic,Dickinson,2015-06-11,1929
Libertarian,Dickinson,2015-06-11,89
Republican,Dickinson,2015-06-11,7345
Unaffiliated,Dickinson,2015-06-11,3513
Democratic,Doniphan,2015-06-11,808
Libertarian,Doniphan,2015-06-11,26
Republican,Doniphan,2015-06-11,2891
Unaffiliated,Doniphan,2015-06-11,1228
Democratic,Douglas,2015-06-11,26357
Libertarian,Douglas,2015-06-11,891
Republican,Douglas,2015-06-11,21940
Unaffiliated,Douglas,2015-06-11,28699
Democratic,Edwards,2015-06-11,321
Libertarian,Edwards,2015-06-11,7
Republican,Edwards,2015-06-11,1221
Unaffiliated,Edwards,2015-06-11,355
Democratic,Elk,2015-06-11,380
Libertarian,Elk,2015-06-11,6
Republican,Elk,2015-06-11,1131
Unaffiliated,Elk,2015-06-11,335
Democratic,Ellis,2015-06-11,4349
Libertarian,Ellis,2015-06-11,167
Republican,Ellis,2015-06-11,8135
Unaffiliated,Ellis,2015-06-11,5114
Democratic,Ellsworth,2015-06-11,882
Libertarian,Ellsworth,2015-06-11,21
Republican,Ellsworth,2015-06-11,2242
Unaffiliated,Ellsworth,2015-06-11,954
Democratic,Finney,2015-06-11,3502
Libertarian,Finney,2015-06-11,106
Republican,Finney,2015-06-11,7841
Unaffiliated,Finney,2015-06-11,6236
Democratic,Ford,2015-06-11,3489
Libertarian,Ford,2015-06-11,122
Republican,Ford,2015-06-11,6435
Unaffiliated,Ford,2015-06-11,5442
Democratic,Franklin,2015-06-11,3656
Libertarian,Franklin,2015-06-11,140
Republican,Franklin,2015-06-11,8789
Unaffiliated,Franklin,2015-06-11,5135
Democratic,Geary,2015-06-11,4087
Libertarian,Geary,2015-06-11,89
Republican,Geary,2015-06-11,5220
Unaffiliated,Geary,2015-06-11,4810
Democratic,Gove,2015-06-11,301
Libertarian,Gove,2015-06-11,2
Republican,Gove,2015-06-11,1258
Unaffiliated,Gove,2015-06-11,346
Democratic,Graham,2015-06-11,241
Libertarian,Graham,2015-06-11,12
Republican,Graham,2015-06-11,1273
Unaffiliated,Graham,2015-06-11,264
Democratic,Grant,2015-06-11,485
Libertarian,Grant,2015-06-11,24
Republican,Grant,2015-06-11,2113
Unaffiliated,Grant,2015-06-11,748
Democratic,Gray,2015-06-11,472
Libertarian,Gray,2015-06-11,25
Republican,Gray,2015-06-11,1700
Unaffiliated,Gray,2015-06-11,725
Democratic,Greeley,2015-06-11,75
Libertarian,Greeley,2015-06-11,3
Republican,Greeley,2015-06-11,741
Unaffiliated,Greeley,2015-06-11,119
Democratic,Greenwood,2015-06-11,583
Libertarian,Greenwood,2015-06-11,12
Republican,Greenwood,2015-06-11,2361
Unaffiliated,Greenwood,2015-06-11,1812
Democratic,Hamilton,2015-06-11,153
Libertarian,Hamilton,2015-06-11,5
Republican,Hamilton,2015-06-11,861
Unaffiliated,Hamilton,2015-06-11,234
Democratic,Harper,2015-06-11,721
Libertarian,Harper,2015-06-11,24
Republican,Harper,2015-06-11,2432
Unaffiliated,Harper,2015-06-11,1019
Democratic,Harvey,2015-06-11,4142
Libertarian,Harvey,2015-06-11,123
Republican,Harvey,2015-06-11,10606
Unaffiliated,Harvey,2015-06-11,6081
Democratic,Haskell,2015-06-11,280
Libertarian,Haskell,2015-06-11,6
Republican,Haskell,2015-06-11,1504
Unaffiliated,Haskell,2015-06-11,596
Democratic,Hodgeman,2015-06-11,199
Libertarian,Hodgeman,2015-06-11,1
Republican,Hodgeman,2015-06-11,982
Unaffiliated,Hodgeman,2015-06-11,223
Democratic,Jackson,2015-06-11,1851
Libertarian,Jackson,2015-06-11,38
Republican,Jackson,2015-06-11,4044
Unaffiliated,Jackson,2015-06-11,2389
Democratic,Jefferson,2015-06-11,2848
Libertarian,Jefferson,2015-06-11,91
Republican,Jefferson,2015-06-11,5821
Unaffiliated,Jefferson,2015-06-11,4336
Democratic,Jewell,2015-06-11,261
Libertarian,Jewell,2015-06-11,10
Republican,Jewell,2015-06-11,1416
Unaffiliated,Jewell,2015-06-11,452
Democratic,Johnson,2015-06-11,84151
Libertarian,Johnson,2015-06-11,3490
Republican,Johnson,2015-06-11,172873
Unaffiliated,Johnson,2015-06-11,115879
Democratic,Kearny,2015-06-11,282
Libertarian,Kearny,2015-06-11,6
Republican,Kearny,2015-06-11,1293
Unaffiliated,Kearny,2015-06-11,501
Democratic,Kingman,2015-06-11,924
Libertarian,Kingman,2015-06-11,29
Republican,Kingman,2015-06-11,2993
Unaffiliated,Kingman,2015-06-11,1482
Democratic,Kiowa,2015-06-11,188
Libertarian,Kiowa,2015-06-11,2
Republican,Kiowa,2015-06-11,1159
Unaffiliated,Kiowa,2015-06-11,258
Democratic,Labette,2015-06-11,4005
Libertarian,Labette,2015-06-11,130
Republican,Labette,2015-06-11,5752
Unaffiliated,Labette,2015-06-11,6212
Democratic,Lane,2015-06-11,154
Libertarian,Lane,2015-06-11,7
Republican,Lane,2015-06-11,963
Unaffiliated,Lane,2015-06-11,183
Democratic,Leavenworth,2015-06-11,12514
Libertarian,Leavenworth,2015-06-11,386
Republican,Leavenworth,2015-06-11,17929
Unaffiliated,Leavenworth,2015-06-11,16751
Democratic,Lincoln,2015-06-11,255
Libertarian,Lincoln,2015-06-11,22
Republican,Lincoln,2015-06-11,1438
Unaffiliated,Lincoln,2015-06-11,482
Democratic,Linn,2015-06-11,1363
Libertarian,Linn,2015-06-11,56
Republican,Linn,2015-06-11,3744
Unaffiliated,Linn,2015-06-11,2082
Democratic,Logan,2015-06-11,212
Libertarian,Logan,2015-06-11,6
Republican,Logan,2015-06-11,1280
Unaffiliated,Logan,2015-06-11,271
