race,party,candidate,votes,proportion,election,year
Kansas Senate 006,D,(Vincent) Mario Escobar,695,0.273,Primary,2012
Kansas House of Representatives 067,D,Aaron Estabrook,3638,0.36,General,2012
Kansas House of Representatives 067,D,Aaron Estabrook,619,1,Primary,2012
Kansas House of Representatives 057,R,Aimee Rosenow,1869,0.287,General,2012
Kansas House of Representatives 057,R,Aimee Rosenow,701,1,Primary,2012
Kansas House of Representatives 071,D,Alan Jilka,3446,0.38,General,2012
Kansas House of Representatives 071,D,Alan Jilka,485,1,Primary,2012
Kansas House of Representatives 065,R,Allan Rothlisberg,2127,0.502,General,2012
Kansas House of Representatives 065,R,Allan Rothlisberg,803,1,Primary,2012
Kansas Senate 040,D,Allen Clark Schmidt,10796,0.334,General,2012
Kansas Senate 040,D,Allen Clark Schmidt,1623,1,Primary,2012
Kansas House of Representatives 016,R,Amanda Grosserode,9066,1,General,2012
Kansas House of Representatives 016,R,Amanda Grosserode,2116,1,Primary,2012
Kansas House of Representatives 021,D,Amy Bell,5937,0.468,General,2012
Kansas House of Representatives 021,D,Amy Bell,569,1,Primary,2012
President / Vice President,O,Andre Barnett,19,0,General,2012
Kansas House of Representatives 103,D,Angela Martinez,114,0.324,Primary,2012
Kansas House of Representatives 054,D,Ann E. Mah,5373,0.499,General,2012
Kansas House of Representatives 054,D,Ann E. Mah,984,1,Primary,2012
Kansas House of Representatives 055,D,Annie Kuether,5257,0.597,General,2012
Kansas House of Representatives 055,D,Annie Kuether,1378,1,Primary,2012
Kansas House of Representatives 053,D,Annie Tietze,5615,0.536,General,2012
Kansas House of Representatives 053,D,Annie Tietze,1211,1,Primary,2012
Kansas Senate 019,D,Anthony Hensley,16543,0.584,General,2012
Kansas Senate 019,D,Anthony Hensley,3314,1,Primary,2012
Kansas Senate 003,R,Anthony R. Brown,14658,0.467,General,2012
Kansas Senate 003,R,Anthony R. Brown,3136,0.683,Primary,2012
Kansas House of Representatives 121,R,Arlen H. Siegfreid,6513,0.639,General,2012
Kansas House of Representatives 121,R,Arlen H. Siegfreid,1248,1,Primary,2012
Kansas House of Representatives 004,R,Arlyn Briggs,154,0.045,Primary,2012
President / Vice President,O,Avery L. Ayers,0,0,General,2012
President / Vice President,D,Barack Obama,440726,0.379,General,2012
Kansas House of Representatives 021,R,Barbara Bollier,6746,0.531,General,2012
Kansas House of Representatives 021,R,Barbara Bollier,2215,1,Primary,2012
Kansas House of Representatives 081,D,Barbara Lynn Wells,2242,0.353,General,2012
Kansas House of Representatives 081,D,Barbara Lynn Wells,201,1,Primary,2012
Kansas House of Representatives 044,D,Barbara W. Ballard,7965,0.71,General,2012
Kansas House of Representatives 044,D,Barbara W. Ballard,1303,1,Primary,2012
Kansas House of Representatives 085,D,Barry Stanley,189,0.468,Primary,2012
Kansas House of Representatives 085,D,Barry Stanley,3316,0.327,General,2012
Kansas House of Representatives 055,R,Becky Nioce,3534,0.402,General,2012
Kansas House of Representatives 055,R,Becky Nioce,1406,1,Primary,2012
Kansas House of Representatives 095,R,Benny Boman,2467,0.424,General,2012
Kansas House of Representatives 095,R,Benny Boman,882,1,Primary,2012
Kansas House of Representatives 005,D,Bill Feuerborn,4417,0.474,General,2012
Kansas House of Representatives 005,D,Bill Feuerborn,969,1,Primary,2012
Kansas House of Representatives 025,R,Bill Griffith,769,0.272,Primary,2012
Kansas House of Representatives 076,R,Bill Otto,1226,0.331,Primary,2012
Kansas House of Representatives 043,R,Bill Sutton,5936,0.673,General,2012
Kansas House of Representatives 043,R,Bill Sutton,1016,0.627,Primary,2012
Kansas House of Representatives 059,R,Blaine Finch,6535,0.72,General,2012
Kansas House of Representatives 059,R,Blaine Finch,2361,0.6,Primary,2012
Kansas House of Representatives 114,R,Bob Booth,667,0.236,Primary,2012
Kansas Senate 013,R,Bob Marshall,2879,0.427,Primary,2012
Kansas Senate 022,R,Bob Reader,12469,0.492,General,2012
Kansas Senate 022,R,Bob Reader,3318,0.43,Primary,2012
Kansas House of Representatives 001,R,Brad R. Bolin,450,0.175,Primary,2012
Kansas House of Representatives 096,D,Brandon Whipple,3509,0.584,General,2012
Kansas House of Representatives 096,D,Brandon Whipple,372,1,Primary,2012
Kansas House of Representatives 092,R,Brenda Landwehr,3553,0.442,General,2012
Kansas House of Representatives 092,R,Brenda Landwehr,1461,1,Primary,2012
Kansas House of Representatives 017,R,Brett M. Hildabrand,5837,0.492,General,2012
Kansas House of Representatives 017,R,Brett M. Hildabrand,1685,0.577,Primary,2012
Kansas House of Representatives 119,R,Brian A. Weber,3506,0.69,General,2012
Kansas House of Representatives 119,R,Brian A. Weber,1194,1,Primary,2012
Kansas House of Representatives 007,R,Brian C. Kinzie,1387,0.468,Primary,2012
Kansas House of Representatives 100,R,Bridget Schneider,1387,0.457,Primary,2012
Kansas House of Representatives 035,D,Broderick Henderson,6211,1,General,2012
Kansas House of Representatives 035,D,Broderick Henderson,851,1,Primary,2012
Kansas House of Representatives 019,R,Bruce Belanger,1829,0.489,Primary,2012
Kansas House of Representatives 069,R,Bruce H. Wyatt,1029,0.478,Primary,2012
Kansas House of Representatives 047,D,Bruce Hanson,3982,0.417,General,2012
Kansas House of Representatives 047,D,Bruce Hanson,670,1,Primary,2012
Kansas House of Representatives 009,R,Bud Sifers,932,0.255,Primary,2012
Kansas House of Representatives 059,D,Caleb Correll,2529,0.279,General,2012
Kansas House of Representatives 059,D,Caleb Correll,378,0.599,Primary,2012
Kansas House of Representatives 125,R,Carl D. Holmes,895,0.497,Primary,2012
Kansas Senate 029,L,Carl Kramer,1120,0.06,General,2012
Kansas House of Representatives 114,D,Carol Moore,3004,0.336,General,2012
Kansas House of Representatives 114,D,Carol Moore,478,1,Primary,2012
Kansas House of Representatives 083,D,Carolyn Bridges,3903,0.584,General,2012
Kansas House of Representatives 083,D,Carolyn Bridges,464,1,Primary,2012
Kansas Senate 031,R,Carolyn McGinn,24183,1,General,2012
Kansas Senate 031,R,Carolyn McGinn,4770,0.55,Primary,2012
Kansas Senate 012,R,Caryn Tyson,18720,0.657,General,2012
Kansas Senate 012,R,Caryn Tyson,6226,0.561,Primary,2012
Kansas Senate 019,R,Casey W. Moore,11756,0.415,General,2012
Kansas Senate 019,R,Casey W. Moore,4238,0.812,Primary,2012
Kansas House of Representatives 039,R,Charles Macheers,6819,0.634,General,2012
Kansas House of Representatives 039,R,Charles Macheers,1162,0.627,Primary,2012
Kansas House of Representatives 026,R,"Charles P. ""Skip"" Andrews",534,0.326,Primary,2012
Kansas Senate 037,R,Charlotte O'Hara,2165,0.294,Primary,2012
Kansas House of Representatives 087,D,Chris Florquist,3146,0.33,General,2012
Kansas House of Representatives 087,D,Chris Florquist,398,1,Primary,2012
Kansas Senate 006,R,Chris Steineger,7106,0.379,General,2012
Kansas Senate 006,R,Chris Steineger,984,1,Primary,2012
Kansas House of Representatives 024,R,Christopher Kenneth Waldschmidt,3989,0.411,General,2012
Kansas House of Representatives 024,R,Christopher Kenneth Waldschmidt,1064,1,Primary,2012
President / Vice President,F,Chuck Baldwin,5017,0.004,General,2012
Kansas Senate 020,L,Clarence Hinchey,2033,0.06,General,2012
Kansas House of Representatives 073,R,Clark Shultz,7186,0.759,General,2012
Kansas House of Representatives 073,R,Clark Shultz,2288,0.832,Primary,2012
Kansas House of Representatives 040,D,Claudia M. Logue,199,0.279,Primary,2012
Kansas House of Representatives 106,R,Clay Aurand,2368,0.49,Primary,2012
Kansas House of Representatives 042,R,Connie O'Brien,5910,0.634,General,2012
Kansas House of Representatives 042,R,Connie O'Brien,1125,0.627,Primary,2012
Kansas House of Representatives 096,R,Craig Gabel,468,0.492,Primary,2012
Kansas House of Representatives 008,R,Craig McPherson,9848,1,General,2012
Kansas House of Representatives 008,R,Craig McPherson,1385,0.614,Primary,2012
Kansas Senate 018,R,Cristina L. Fischer,855,0.127,Primary,2012
Kansas House of Representatives 102,R,Dakota Bass,1890,0.337,General,2012
Kansas House of Representatives 102,R,Dakota Bass,587,1,Primary,2012
Kansas House of Representatives 097,D,Dale Swenson,2899,0.416,General,2012
Kansas House of Representatives 097,D,Dale Swenson,309,1,Primary,2012
Kansas House of Representatives 100,R,Daniel Hawkins,7175,0.697,General,2012
Kansas House of Representatives 100,R,Daniel Hawkins,1642,0.542,Primary,2012
Kansas House of Representatives 084,R,Dan Heflin,1522,0.23,General,2012
Kansas House of Representatives 084,R,Dan Heflin,543,1,Primary,2012
Kansas Senate 026,R,Dan Kerschen,20593,1,General,2012
Kansas Senate 026,R,Dan Kerschen,3911,0.575,Primary,2012
Kansas House of Representatives 043,R,Dan L. Thompson,602,0.372,Primary,2012
Kansas House of Representatives 054,R,Dana K. Webber,547,0.198,Primary,2012
Kansas House of Representatives 061,R,Dan Brenner,711,0.188,Primary,2012
Kansas Senate 037,R,Daniel B. Campbell,441,0.059,Primary,2012
Kansas House of Representatives 093,O,Daniel J Thimesch,2717,0.316,General,2012
Kansas House of Representatives 011,D,Darrel Harbaugh,3329,0.418,General,2012
Kansas House of Representatives 011,D,Darrel Harbaugh,570,1,Primary,2012
Kansas House of Representatives 023,D,Dave Pack,4228,0.49,General,2012
Kansas House of Representatives 023,D,Dave Pack,324,1,Primary,2012
Kansas Senate 025,L,Dave Thomas,1607,0.08,General,2012
Kansas Senate 004,D,David Haley,17428,0.798,General,2012
Kansas Senate 004,D,David Haley,2820,1,Primary,2012
Kansas Senate 007,R,David Harvey,3889,0.429,Primary,2012
Kansas House of Representatives 089,D,David P. Hansen,264,0.212,Primary,2012
Kansas House of Representatives 038,R,David R. Anderson,870,0.459,Primary,2012
Kansas House of Representatives 054,R,"Debra ""Debbi"" Childers",808,0.292,Primary,2012
Kansas House of Representatives 051,R,Dee McKee,1048,0.315,Primary,2012
Kansas Senate 012,D,Denise Cassells,9737,0.342,General,2012
Kansas Senate 012,D,Denise Cassells,2258,1,Primary,2012
Kansas Senate 001,R,Dennis D. Pyle,15378,0.506,General,2012
