year,county,registered_voters,total_votes_cast,prop_turnout,advance_votes,prop_votes_advance,provisional_votes,prop_votes_provisional
2012,Allen,8744,5533,0.633,1116,0.202,149,0.027
2012,Anderson,5362,3413,0.637,590,0.173,69,0.02
2012,Atchison,10908,6886,0.631,1463,0.212,244,0.035
2012,Barber,3258,2389,0.733,528,0.221,53,0.022
2012,Barton,17229,10543,0.612,2779,0.264,204,0.019
2012,Bourbon,10996,6427,0.584,1745,0.272,208,0.032
2012,Brown,6673,4088,0.613,803,0.196,169,0.041
2012,Butler,41729,26634,0.638,4523,0.17,896,0.034
2012,Chase,1959,1286,0.656,407,0.316,32,0.025
2012,Chautauqua,2515,1678,0.667,370,0.221,58,0.035
2012,Cherokee,12338,8830,0.716,1294,0.147,331,0.037
2012,Cheyenne,1908,1469,0.77,558,0.38,14,0.01
2012,Clark,1549,1049,0.677,251,0.239,13,0.012
2012,Clay,5893,3753,0.637,1264,0.337,112,0.03
2012,Cloud,6291,4188,0.666,690,0.165,122,0.029
2012,Coffey,6136,3975,0.648,873,0.22,80,0.02
2012,Comanche,1252,953,0.761,150,0.157,13,0.014
2012,Cowley,20898,13009,0.622,2467,0.19,413,0.032
2012,Crawford,23838,15362,0.644,3460,0.225,753,0.049
2012,Decatur,2032,1588,0.781,352,0.222,18,0.011
2012,Dickinson,13058,8199,0.628,1528,0.186,239,0.029
2012,Doniphan,4768,3535,0.741,348,0.098,100,0.028
2012,Douglas,78752,49361,0.627,14131,0.286,2189,0.044
2012,Edwards,1921,1423,0.741,205,0.144,41,0.029
2012,Elk,1884,1408,0.747,256,0.182,25,0.018
2012,Ellis,18271,11954,0.654,2585,0.216,341,0.029
2012,Ellsworth,4159,2763,0.664,473,0.171,43,0.016
2012,Finney,16532,9169,0.555,2007,0.219,492,0.054
2012,Ford,15277,8640,0.566,2491,0.288,446,0.052
2012,Franklin,17109,11012,0.644,1743,0.158,282,0.026
2012,Geary,14728,8226,0.559,2234,0.272,601,0.073
2012,Gove,1925,1374,0.714,154,0.112,34,0.025
2012,Graham,2007,1375,0.685,306,0.223,26,0.019
2012,Grant,4112,2365,0.575,635,0.268,127,0.054
2012,Gray,2970,1987,0.669,533,0.268,76,0.038
2012,Greeley,954,693,0.726,202,0.291,11,0.016
2012,Greenwood,4899,2753,0.562,562,0.204,94,0.034
2012,Hamilton,1279,878,0.686,385,0.438,28,0.032
2012,Harper,4244,2554,0.602,370,0.145,59,0.023
2012,Harvey,22103,14667,0.664,3333,0.227,377,0.026
2012,Haskell,2433,1423,0.585,315,0.221,65,0.046
2012,Hodgeman,1514,1079,0.713,152,0.141,26,0.024
2012,Jackson,8746,5686,0.65,1031,0.181,146,0.026
2012,Jefferson,12977,8214,0.633,887,0.108,268,0.033
2012,Jewell,2381,1534,0.644,316,0.206,30,0.02
2012,Johnson,383491,277829,0.724,115020,0.414,8024,0.029
2012,Kearny,2220,1420,0.64,246,0.173,56,0.039
2012,Kingman,5472,3330,0.609,543,0.163,56,0.017
2012,Kiowa,1615,1216,0.753,122,0.1,20,0.016
2012,Labette,16372,8199,0.501,733,0.089,169,0.021
2012,Lane,1359,951,0.7,235,0.247,18,0.019
2012,Leavenworth,46128,29785,0.646,9363,0.314,913,0.031
2012,Lincoln,2241,1506,0.672,288,0.191,33,0.022
2012,Linn,7206,4585,0.636,830,0.181,214,0.047
2012,Logan,1907,1392,0.73,525,0.377,69,0.05
2012,Lyon,20399,12148,0.596,2821,0.232,350,0.029
2012,Marion,7801,5458,0.7,609,0.112,188,0.034
2012,Marshall,7072,4901,0.693,1405,0.287,145,0.03
2012,McPherson,15681,12683,0.809,2253,0.178,497,0.039
2012,Meade,3073,1815,0.591,387,0.213,70,0.039
2012,Miami,21793,15138,0.695,4507,0.298,400,0.026
2012,Mitchell,4261,3072,0.721,592,0.193,68,0.022
2012,Montgomery,20353,12730,0.625,1623,0.127,371,0.029
2012,Morris,3982,2617,0.657,857,0.327,64,0.024
2012,Morton,1958,1320,0.674,253,0.192,32,0.024
2012,Nemaha,7534,5123,0.68,713,0.139,68,0.013
2012,Neosho,11480,6614,0.576,619,0.094,154,0.023
2012,Ness,2076,1481,0.713,350,0.236,40,0.027
2012,Norton,3367,2420,0.719,336,0.139,41,0.017
2012,Osage,10842,7040,0.649,1058,0.15,287,0.041
2012,Osborne,2935,1871,0.637,467,0.25,39,0.021
2012,Ottawa,4413,3022,0.685,537,0.178,69,0.023
2012,Pawnee,3964,2676,0.675,745,0.278,71,0.027
2012,Phillips,3884,2648,0.682,343,0.13,44,0.017
2012,Pottawatomie,13449,9762,0.726,1191,0.122,295,0.03
2012,Pratt,6131,3928,0.641,752,0.191,63,0.016
2012,Rawlins,2074,1489,0.718,593,0.398,28,0.019
2012,Reno,41591,25271,0.608,6413,0.254,699,0.028
2012,Republic,3800,2784,0.733,645,0.232,65,0.023
2012,Rice,7792,3803,0.488,956,0.251,109,0.029
2012,Riley,34625,21806,0.63,6854,0.314,1019,0.047
2012,Rooks,3735,2678,0.717,331,0.124,52,0.019
2012,Rush,2307,1626,0.705,388,0.239,42,0.026
2012,Russell,4464,3288,0.737,544,0.165,87,0.026
2012,Saline,36259,22356,0.617,4718,0.211,557,0.025
2012,Scott,3091,2100,0.679,371,0.177,61,0.029
2012,Sedgwick,274369,187286,0.683,93745,0.501,7502,0.04
2012,Seward,10179,5377,0.528,1862,0.346,394,0.073
2012,Shawnee,110322,78042,0.707,15782,0.202,2412,0.031
2012,Sheridan,1837,1383,0.753,320,0.231,26,0.019
2012,Sherman,3938,2710,0.688,959,0.354,36,0.013
2012,Smith,3082,2467,0.8,339,0.137,61,0.025
2012,Stafford,2744,1872,0.682,489,0.261,9,0.005
2012,Stanton,1234,757,0.613,117,0.155,32,0.042
2012,Stevens,2913,2111,0.725,305,0.144,38,0.018
2012,Sumner,15705,9379,0.597,1414,0.151,291,0.031
2012,Thomas,4514,3553,0.787,1402,0.395,134,0.038
2012,Trego,2250,1622,0.721,413,0.255,52,0.032
2012,Wabaunsee,4534,3386,0.747,466,0.138,92,0.027
2012,Wallace,1097,820,0.747,208,0.254,20,0.024
2012,Washington,4080,2896,0.71,1752,0.605,40,0.014
2012,Wichita,1416,1004,0.709,124,0.124,5,0.005
2012,Wilson,5845,3752,0.642,917,0.244,30,0.008
2012,Woodson,2277,1466,0.644,324,0.221,24,0.016
2012,Wyandotte,84208,51682,0.614,15735,0.304,1903,0.037
2014,Allen,8583,4594,0.535,870,0.189,128,0.028
2014,Anderson,5329,2607,0.489,334,0.128,48,0.018
2014,Atchison,10878,4880,0.449,720,0.148,122,0.025
2014,Barber,3007,1771,0.589,345,0.195,28,0.016
2014,Barton,17097,8190,0.479,1636,0.2,153,0.019
2014,Bourbon,11227,5173,0.461,1221,0.236,161,0.031
2014,Brown,5883,3275,0.557,458,0.14,83,0.025
