desc_party,district_kr,date,count
Democratic,1,2014-12-22,5294
Libertarian,1,2014-12-22,129
Unaffiliated,1,2014-12-22,5761
Republican,1,2014-12-22,6412
Republican,1,2015-06-11,6392
Unaffiliated,1,2015-06-11,5952
Democratic,1,2015-06-11,5230
Libertarian,1,2015-06-11,131
Democratic,1,2015-09-04,5191
Libertarian,1,2015-09-04,130
Republican,1,2015-09-04,6383
Unaffiliated,1,2015-09-04,6031
Unaffiliated,1,2015-11-05,6020
Democratic,1,2015-11-05,5119
Libertarian,1,2015-11-05,129
Republican,1,2015-11-05,6350
Unaffiliated,1,2015-11-19,6021
Republican,1,2015-11-19,6345
Libertarian,1,2015-11-19,129
Democratic,1,2015-11-19,5112
Democratic,1,2016-02-03,5050
Libertarian,1,2016-02-03,127
Unaffiliated,1,2016-02-03,5994
Republican,1,2016-02-03,6336
Libertarian,1,2016-04-21,131
Unaffiliated,1,2016-04-21,6022
Democratic,1,2016-04-21,5013
Republican,1,2016-04-21,6363
Democratic,1,2016-06-02,4985
Unaffiliated,1,2016-06-02,6062
Republican,1,2016-06-02,6379
Libertarian,1,2016-06-02,134
Libertarian,1,2016-08-02,133
Unaffiliated,1,2016-08-02,6153
Democratic,1,2016-08-02,4997
Republican,1,2016-08-02,6437
Republican,1,2016-10-06,6606
Democratic,1,2016-10-06,5022
Unaffiliated,1,2016-10-06,6059
Libertarian,1,2016-10-06,135
Unaffiliated,1,2017-01-12,6136
Democratic,1,2017-01-12,4965
Republican,1,2017-01-12,6716
Libertarian,1,2017-01-12,146
Libertarian,1,2017-02-17,135
Unaffiliated,1,2017-02-17,5704
Republican,1,2017-02-17,6468
Democratic,1,2017-02-17,4692
Unaffiliated,1,2017-03-07,5680
Republican,1,2017-03-07,6453
Democratic,1,2017-03-07,4647
Libertarian,1,2017-03-07,136
Unaffiliated,1,2017-04-03,5567
Libertarian,1,2017-04-03,136
Republican,1,2017-04-03,6384
Democratic,1,2017-04-03,4556
Libertarian,1,2017-05-11,136
Republican,1,2017-05-11,6359
Democratic,1,2017-05-11,4530
