desc_party,district_ks,date,count
Democratic,1,2014-12-22,10425
Libertarian,1,2014-12-22,230
Unaffiliated,1,2014-12-22,13026
Republican,1,2014-12-22,22960
Libertarian,1,2015-06-11,224
Republican,1,2015-06-11,22453
Democratic,1,2015-06-11,10055
Unaffiliated,1,2015-06-11,12808
Unaffiliated,1,2015-09-04,12942
Libertarian,1,2015-09-04,224
Republican,1,2015-09-04,22356
Democratic,1,2015-09-04,9998
Libertarian,1,2015-11-05,226
Republican,1,2015-11-05,22337
Democratic,1,2015-11-05,9953
Unaffiliated,1,2015-11-05,12989
Republican,1,2015-11-19,22341
Democratic,1,2015-11-19,9947
Unaffiliated,1,2015-11-19,13018
Libertarian,1,2015-11-19,227
Democratic,1,2016-02-03,9882
Republican,1,2016-02-03,22318
Libertarian,1,2016-02-03,230
Unaffiliated,1,2016-02-03,12927
Libertarian,1,2016-04-21,229
Democratic,1,2016-04-21,9975
Unaffiliated,1,2016-04-21,12932
Republican,1,2016-04-21,22470
Republican,1,2016-06-02,22469
Unaffiliated,1,2016-06-02,12945
Libertarian,1,2016-06-02,230
Democratic,1,2016-06-02,9904
Unaffiliated,1,2016-08-02,13144
Republican,1,2016-08-02,22670
Libertarian,1,2016-08-02,236
Democratic,1,2016-08-02,9908
Unaffiliated,1,2016-10-06,12616
Democratic,1,2016-10-06,10038
Libertarian,1,2016-10-06,244
Republican,1,2016-10-06,23578
Democratic,1,2017-01-12,9960
Republican,1,2017-01-12,23802
Libertarian,1,2017-01-12,269
Unaffiliated,1,2017-01-12,12926
Republican,1,2017-02-17,23808
Libertarian,1,2017-02-17,271
Democratic,1,2017-02-17,9941
Unaffiliated,1,2017-02-17,13010
Republican,1,2017-03-07,23802
Democratic,1,2017-03-07,9933
Libertarian,1,2017-03-07,270
Unaffiliated,1,2017-03-07,13048
Democratic,1,2017-04-03,9910
Unaffiliated,1,2017-04-03,13089
Republican,1,2017-04-03,23801
Libertarian,1,2017-04-03,270
Democratic,1,2017-05-11,9880
Republican,1,2017-05-11,23777
Libertarian,1,2017-05-11,272
Unaffiliated,1,2017-05-11,13106
Republican,1,2017-06-06,23656
Democratic,1,2017-06-06,9812
Libertarian,1,2017-06-06,269
Unaffiliated,1,2017-06-06,13036
Unaffiliated,1,2017-06-23,13049
Libertarian,1,2017-06-23,271
Republican,1,2017-06-23,23636
Democratic,1,2017-06-23,9798
Unaffiliated,1,2017-08-02,13100
Democratic,1,2017-08-02,9791
Republican,1,2017-08-02,23626
Libertarian,1,2017-08-02,271
Unaffiliated,1,2017-09-01,13137
Democratic,1,2017-09-01,9772
Libertarian,1,2017-09-01,271
Republican,1,2017-09-01,23604
Unaffiliated,1,2017-10-05,13193
Libertarian,1,2017-10-05,269
Republican,1,2017-10-05,23588
Democratic,1,2017-10-05,9755
Republican,1,2017-11-02,23568
Unaffiliated,1,2017-11-02,13211
Democratic,1,2017-11-02,9743
Libertarian,1,2017-11-02,269
Democratic,1,2017-12-14,9711
Libertarian,1,2017-12-14,278
Republican,1,2017-12-14,23554
Unaffiliated,1,2017-12-14,13304
Democratic,2,2014-12-22,18978
Republican,2,2014-12-22,17089
Unaffiliated,2,2014-12-22,20222
Libertarian,2,2014-12-22,601
Democratic,2,2015-06-11,18973
Unaffiliated,2,2015-06-11,20574
Republican,2,2015-06-11,17021
Libertarian,2,2015-06-11,616
Unaffiliated,2,2015-09-04,20618
Republican,2,2015-09-04,16954
Democratic,2,2015-09-04,19048
Libertarian,2,2015-09-04,609
Libertarian,2,2015-11-05,610
Democratic,2,2015-11-05,19196
Unaffiliated,2,2015-11-05,20631
Republican,2,2015-11-05,16950
Unaffiliated,2,2015-11-19,20617
Republican,2,2015-11-19,16916
Democratic,2,2015-11-19,19243
Libertarian,2,2015-11-19,609
Democratic,2,2016-02-03,19373
Libertarian,2,2016-02-03,596
Republican,2,2016-02-03,16902
Unaffiliated,2,2016-02-03,20488
Republican,2,2016-04-21,16730
Democratic,2,2016-04-21,20783
Libertarian,2,2016-04-21,558
Unaffiliated,2,2016-04-21,19553
Democratic,2,2016-06-02,20745
Libertarian,2,2016-06-02,559
Unaffiliated,2,2016-06-02,19571
Republican,2,2016-06-02,16659
Libertarian,2,2016-08-02,579
Republican,2,2016-08-02,16747
Unaffiliated,2,2016-08-02,19704
Democratic,2,2016-08-02,20840
Libertarian,2,2016-10-06,586
Democratic,2,2016-10-06,21482
Unaffiliated,2,2016-10-06,19529
Republican,2,2016-10-06,17037
Libertarian,2,2017-01-12,638
Unaffiliated,2,2017-01-12,20256
Republican,2,2017-01-12,17185
Democratic,2,2017-01-12,21833
Republican,2,2017-02-17,17186
Libertarian,2,2017-02-17,645
Democratic,2,2017-02-17,21898
Unaffiliated,2,2017-02-17,20399
Unaffiliated,2,2017-03-07,20418
Democratic,2,2017-03-07,21902
Republican,2,2017-03-07,17182
Libertarian,2,2017-03-07,644
Republican,2,2017-04-03,16142
Libertarian,2,2017-04-03,578
Democratic,2,2017-04-03,19986
Unaffiliated,2,2017-04-03,18164
Unaffiliated,2,2017-05-11,18158
Republican,2,2017-05-11,16119
Libertarian,2,2017-05-11,580
Democratic,2,2017-05-11,19949
Democratic,2,2017-06-06,19971
Libertarian,2,2017-06-06,577
Unaffiliated,2,2017-06-06,18298
Republican,2,2017-06-06,16116
Libertarian,2,2017-06-23,581
Unaffiliated,2,2017-06-23,18319
Democratic,2,2017-06-23,19914
Republican,2,2017-06-23,16079
Republican,2,2017-08-02,16065
Unaffiliated,2,2017-08-02,18355
Democratic,2,2017-08-02,19894
Libertarian,2,2017-08-02,581
Unaffiliated,2,2017-09-01,18476
Republican,2,2017-09-01,16062
Democratic,2,2017-09-01,19908
Libertarian,2,2017-09-01,583
Democratic,2,2017-10-05,19906
