district_cg,year,month,day,desc_party,count
,2014,12,22,,32
,2014,12,22,Democratic,345
,2014,12,22,Libertarian,34
,2014,12,22,Republican,456
,2014,12,22,Unaffiliated,972
CG0001,2014,12,22,,69
CG0001,2014,12,22,Democratic,78211
CG0001,2014,12,22,Libertarian,2875
CG0001,2014,12,22,Republican,220474
CG0001,2014,12,22,Unaffiliated,114597
CG0002,2014,12,22,,45
CG0002,2014,12,22,Democratic,127137
CG0002,2014,12,22,Libertarian,3613
CG0002,2014,12,22,Republican,184711
CG0002,2014,12,22,Unaffiliated,146645
CG0003,2014,12,22,,2
CG0003,2014,12,22,Democratic,127575
CG0003,2014,12,22,Libertarian,3947
CG0003,2014,12,22,Republican,189904
CG0003,2014,12,22,Unaffiliated,142298
CG0004,2014,12,22,,267
CG0004,2014,12,22,Democratic,93184
CG0004,2014,12,22,Libertarian,3062
CG0004,2014,12,22,Republican,182576
CG0004,2014,12,22,Unaffiliated,137865
district_cg,2014,12,22,desc_party,105
,2015,6,11,,35
,2015,6,11,Democratic,389
,2015,6,11,Libertarian,33
,2015,6,11,Republican,506
,2015,6,11,Unaffiliated,1086
CG0001,2015,6,11,,83
CG0001,2015,6,11,Democratic,76569
CG0001,2015,6,11,Libertarian,2907
CG0001,2015,6,11,Republican,217772
CG0001,2015,6,11,Unaffiliated,114650
CG0002,2015,6,11,,53
CG0002,2015,6,11,Democratic,125931
CG0002,2015,6,11,Libertarian,3688
CG0002,2015,6,11,Republican,183417
CG0002,2015,6,11,Unaffiliated,148708
CG0003,2015,6,11,,2
CG0003,2015,6,11,Democratic,122682
CG0003,2015,6,11,Libertarian,4019
CG0003,2015,6,11,Republican,189340
CG0003,2015,6,11,Unaffiliated,140756
CG0004,2015,6,11,,256
CG0004,2015,6,11,Democratic,90168
CG0004,2015,6,11,Libertarian,3059
CG0004,2015,6,11,Republican,179163
CG0004,2015,6,11,Unaffiliated,136581
district_cg,2015,6,11,desc_party,105
,2015,9,4,Democratic,395
,2015,9,4,Libertarian,33
,2015,9,4,Republican,500
,2015,9,4,Unaffiliated,1086
CG0001,2015,9,4,Democratic,75288
CG0001,2015,9,4,Libertarian,2886
CG0001,2015,9,4,Republican,215841
CG0001,2015,9,4,Unaffiliated,113464
CG0002,2015,9,4,Democratic,125629
CG0002,2015,9,4,Libertarian,3692
CG0002,2015,9,4,Republican,182843
CG0002,2015,9,4,Unaffiliated,149887
CG0003,2015,9,4,Democratic,123571
CG0003,2015,9,4,Libertarian,4085
CG0003,2015,9,4,Republican,190074
CG0003,2015,9,4,Unaffiliated,142595
CG0004,2015,9,4,Democratic,90093
CG0004,2015,9,4,Libertarian,3083
CG0004,2015,9,4,Republican,178891
CG0004,2015,9,4,Unaffiliated,138391
district_cg,2015,9,4,desc_party,105
,2015,11,5,Democratic,312
,2015,11,5,Libertarian,32
,2015,11,5,Republican,394
,2015,11,5,Unaffiliated,810
CG0001,2015,11,5,Democratic,75079
CG0001,2015,11,5,Libertarian,2870
CG0001,2015,11,5,Republican,215122
CG0001,2015,11,5,Unaffiliated,113378
CG0002,2015,11,5,Democratic,125481
CG0002,2015,11,5,Libertarian,3692
CG0002,2015,11,5,Republican,182534
CG0002,2015,11,5,Unaffiliated,150168
CG0003,2015,11,5,Democratic,123956
CG0003,2015,11,5,Libertarian,4087
CG0003,2015,11,5,Republican,190684
CG0003,2015,11,5,Unaffiliated,143007
CG0004,2015,11,5,Democratic,89756
CG0004,2015,11,5,Libertarian,3070
CG0004,2015,11,5,Republican,178505
CG0004,2015,11,5,Unaffiliated,137691
district_cg,2015,11,5,desc_party,105
,2015,11,19,Democratic,289
,2015,11,19,Libertarian,33
,2015,11,19,Republican,383
,2015,11,19,Unaffiliated,731
CG0001,2015,11,19,Democratic,75032
CG0001,2015,11,19,Libertarian,2875
CG0001,2015,11,19,Republican,215069
CG0001,2015,11,19,Unaffiliated,113363
CG0002,2015,11,19,Democratic,125462
CG0002,2015,11,19,Libertarian,3685
CG0002,2015,11,19,Republican,182420
CG0002,2015,11,19,Unaffiliated,150048
CG0003,2015,11,19,Democratic,124174
CG0003,2015,11,19,Libertarian,4106
CG0003,2015,11,19,Republican,190865
CG0003,2015,11,19,Unaffiliated,143192
CG0004,2015,11,19,Democratic,89421
CG0004,2015,11,19,Libertarian,3045
CG0004,2015,11,19,Republican,178133
CG0004,2015,11,19,Unaffiliated,136545
district_cg,2015,11,19,desc_party,105
,2016,2,3,Democratic,268
,2016,2,3,Libertarian,22
,2016,2,3,Republican,355
,2016,2,3,Unaffiliated,612
CG0001,2016,2,3,Democratic,74747
CG0001,2016,2,3,Libertarian,2856
CG0001,2016,2,3,Republican,214864
CG0001,2016,2,3,Unaffiliated,113073
CG0002,2016,2,3,Democratic,124011
