db_logid,year,month,day,desc_party,count
Allen,2014,12,22,Democratic,1694
Allen,2014,12,22,Libertarian,55
Allen,2014,12,22,Republican,4126
Allen,2014,12,22,Unaffiliated,2858
Anderson,2014,12,22,Democratic,1287
Anderson,2014,12,22,Libertarian,49
Anderson,2014,12,22,Republican,2142
Anderson,2014,12,22,Unaffiliated,1902
Atchison,2014,12,22,,1
Atchison,2014,12,22,Democratic,3331
Atchison,2014,12,22,Libertarian,54
Atchison,2014,12,22,Republican,3741
Atchison,2014,12,22,Unaffiliated,3831
Barber,2014,12,22,Democratic,494
Barber,2014,12,22,Libertarian,13
Barber,2014,12,22,Republican,2067
Barber,2014,12,22,Unaffiliated,455
Barton,2014,12,22,,6
Barton,2014,12,22,Democratic,3003
Barton,2014,12,22,Libertarian,95
Barton,2014,12,22,Republican,9564
Barton,2014,12,22,Unaffiliated,4713
Bourbon,2014,12,22,Democratic,2916
Bourbon,2014,12,22,Libertarian,69
Bourbon,2014,12,22,Republican,4745
Bourbon,2014,12,22,Unaffiliated,3680
Brown,2014,12,22,,2
Brown,2014,12,22,Democratic,1070
Brown,2014,12,22,Libertarian,31
Brown,2014,12,22,Republican,3407
Brown,2014,12,22,Unaffiliated,1436
Butler,2014,12,22,,234
Butler,2014,12,22,Democratic,7323
Butler,2014,12,22,Libertarian,282
Butler,2014,12,22,Republican,20525
Butler,2014,12,22,Unaffiliated,12363
Chase,2014,12,22,,1
Chase,2014,12,22,Democratic,286
Chase,2014,12,22,Libertarian,10
Chase,2014,12,22,Republican,1186
Chase,2014,12,22,Unaffiliated,329
Chautauqua,2014,12,22,,4
Chautauqua,2014,12,22,Democratic,287
Chautauqua,2014,12,22,Libertarian,10
Chautauqua,2014,12,22,Republican,1591
Chautauqua,2014,12,22,Unaffiliated,400
Cherokee,2014,12,22,Democratic,5003
Cherokee,2014,12,22,Libertarian,122
Cherokee,2014,12,22,Republican,6079
Cherokee,2014,12,22,Unaffiliated,5420
Cheyenne,2014,12,22,Democratic,228
Cheyenne,2014,12,22,Libertarian,8
Cheyenne,2014,12,22,Republican,1400
Cheyenne,2014,12,22,Unaffiliated,246
Clark,2014,12,22,Democratic,246
Clark,2014,12,22,Libertarian,7
Clark,2014,12,22,Republican,951
Clark,2014,12,22,Unaffiliated,271
Clay,2014,12,22,,2
Clay,2014,12,22,Democratic,607
Clay,2014,12,22,Libertarian,39
Clay,2014,12,22,Republican,3840
Clay,2014,12,22,Unaffiliated,1259
Cloud,2014,12,22,,1
Cloud,2014,12,22,Democratic,1066
Cloud,2014,12,22,Libertarian,37
Cloud,2014,12,22,Republican,3556
Cloud,2014,12,22,Unaffiliated,1458
Coffey,2014,12,22,Democratic,965
Coffey,2014,12,22,Libertarian,40
Coffey,2014,12,22,Republican,3621
Coffey,2014,12,22,Unaffiliated,1440
Comanche,2014,12,22,Democratic,171
Comanche,2014,12,22,Libertarian,5
Comanche,2014,12,22,Republican,809
Comanche,2014,12,22,Unaffiliated,148
Cowley,2014,12,22,,3
Cowley,2014,12,22,Democratic,5115
Cowley,2014,12,22,Libertarian,147
Cowley,2014,12,22,Republican,9405
Cowley,2014,12,22,Unaffiliated,6097
Crawford,2014,12,22,,3
Crawford,2014,12,22,Democratic,8032
Crawford,2014,12,22,Libertarian,179
Crawford,2014,12,22,Republican,7500
Crawford,2014,12,22,Unaffiliated,8328
Decatur,2014,12,22,,4
Decatur,2014,12,22,Democratic,312
Decatur,2014,12,22,Libertarian,9
Decatur,2014,12,22,Republican,1332
Decatur,2014,12,22,Unaffiliated,386
Dickinson,2014,12,22,,2
Dickinson,2014,12,22,Democratic,1951
Dickinson,2014,12,22,Libertarian,89
Dickinson,2014,12,22,Republican,7385
Dickinson,2014,12,22,Unaffiliated,3405
Doniphan,2014,12,22,,3
Doniphan,2014,12,22,Democratic,799
Doniphan,2014,12,22,Libertarian,28
Doniphan,2014,12,22,Republican,2900
Doniphan,2014,12,22,Unaffiliated,1158
Douglas,2014,12,22,,31
Douglas,2014,12,22,Democratic,26328
Douglas,2014,12,22,Libertarian,868
Douglas,2014,12,22,Republican,21984
Douglas,2014,12,22,Unaffiliated,28208
Edwards,2014,12,22,Democratic,324
Edwards,2014,12,22,Libertarian,7
Edwards,2014,12,22,Republican,1219
Edwards,2014,12,22,Unaffiliated,357
Elk,2014,12,22,,1
Elk,2014,12,22,Democratic,384
Elk,2014,12,22,Libertarian,3
Elk,2014,12,22,Republican,1138
Elk,2014,12,22,Unaffiliated,325
Ellis,2014,12,22,Democratic,4502
Ellis,2014,12,22,Libertarian,160
Ellis,2014,12,22,Republican,8258
Ellis,2014,12,22,Unaffiliated,5171
Ellsworth,2014,12,22,,1
Ellsworth,2014,12,22,Democratic,894
Ellsworth,2014,12,22,Libertarian,23
Ellsworth,2014,12,22,Republican,2253
Ellsworth,2014,12,22,Unaffiliated,942
Finney,2014,12,22,,24
Finney,2014,12,22,Democratic,3470
Finney,2014,12,22,Libertarian,100
Finney,2014,12,22,Republican,7779
Finney,2014,12,22,Unaffiliated,5994
Ford,2014,12,22,,3
Ford,2014,12,22,Democratic,3518
Ford,2014,12,22,Libertarian,121
Ford,2014,12,22,Republican,6451
Ford,2014,12,22,Unaffiliated,5322
Franklin,2014,12,22,Democratic,3660
Franklin,2014,12,22,Libertarian,138
Franklin,2014,12,22,Republican,8779
Franklin,2014,12,22,Unaffiliated,5015
Geary,2014,12,22,,2
Geary,2014,12,22,Democratic,4087
Geary,2014,12,22,Libertarian,89
Geary,2014,12,22,Republican,5241
Geary,2014,12,22,Unaffiliated,4748
Gove,2014,12,22,Democratic,302
Gove,2014,12,22,Libertarian,2
Gove,2014,12,22,Republican,1252
Gove,2014,12,22,Unaffiliated,344
Graham,2014,12,22,Democratic,265
Graham,2014,12,22,Libertarian,11
Graham,2014,12,22,Republican,1369
Graham,2014,12,22,Unaffiliated,322
Grant,2014,12,22,Democratic,494
Grant,2014,12,22,Libertarian,23
Grant,2014,12,22,Republican,2172
Grant,2014,12,22,Unaffiliated,763
Gray,2014,12,22,Democratic,480
Gray,2014,12,22,Libertarian,24
Gray,2014,12,22,Republican,1701
Gray,2014,12,22,Unaffiliated,701
Greeley,2014,12,22,Democratic,77
Greeley,2014,12,22,Libertarian,3
Greeley,2014,12,22,Republican,737
Greeley,2014,12,22,Unaffiliated,112
Greenwood,2014,12,22,,1
Greenwood,2014,12,22,Democratic,612
Greenwood,2014,12,22,Libertarian,11
Greenwood,2014,12,22,Republican,2390
Greenwood,2014,12,22,Unaffiliated,1953
Hamilton,2014,12,22,,2
Hamilton,2014,12,22,Democratic,157
Hamilton,2014,12,22,Libertarian,4
Hamilton,2014,12,22,Republican,909
Hamilton,2014,12,22,Unaffiliated,245
Harper,2014,12,22,Democratic,755
Harper,2014,12,22,Libertarian,22
Harper,2014,12,22,Republican,2465
Harper,2014,12,22,Unaffiliated,1024
Harvey,2014,12,22,Democratic,4313
Harvey,2014,12,22,Libertarian,129
Harvey,2014,12,22,Republican,10956
Harvey,2014,12,22,Unaffiliated,6286
Haskell,2014,12,22,,1
Haskell,2014,12,22,Democratic,286
Haskell,2014,12,22,Libertarian,6
Haskell,2014,12,22,Republican,1515
