district_kr,year,month,day,desc_party,count
,2014,12,22,,32
,2014,12,22,Democratic,317
,2014,12,22,Libertarian,33
,2014,12,22,Republican,397
,2014,12,22,Unaffiliated,910
KR0001,2014,12,22,Democratic,5294
KR0001,2014,12,22,Libertarian,129
KR0001,2014,12,22,Republican,6412
KR0001,2014,12,22,Unaffiliated,5761
KR0002,2014,12,22,,2
KR0002,2014,12,22,Democratic,5000
KR0002,2014,12,22,Libertarian,95
KR0002,2014,12,22,Republican,5688
KR0002,2014,12,22,Unaffiliated,4889
KR0003,2014,12,22,,1
KR0003,2014,12,22,Democratic,4167
KR0003,2014,12,22,Libertarian,107
KR0003,2014,12,22,Republican,4322
KR0003,2014,12,22,Unaffiliated,5008
KR0004,2014,12,22,Democratic,4016
KR0004,2014,12,22,Libertarian,116
KR0004,2014,12,22,Republican,7713
KR0004,2014,12,22,Unaffiliated,5373
KR0005,2014,12,22,,1
KR0005,2014,12,22,Democratic,3403
KR0005,2014,12,22,Libertarian,117
KR0005,2014,12,22,Republican,6367
KR0005,2014,12,22,Unaffiliated,4634
KR0006,2014,12,22,Democratic,3029
KR0006,2014,12,22,Libertarian,122
KR0006,2014,12,22,Republican,7601
KR0006,2014,12,22,Unaffiliated,4489
KR0007,2014,12,22,,1
KR0007,2014,12,22,Democratic,4187
KR0007,2014,12,22,Libertarian,134
KR0007,2014,12,22,Republican,6156
KR0007,2014,12,22,Unaffiliated,6047
KR0008,2014,12,22,Democratic,2654
KR0008,2014,12,22,Libertarian,104
KR0008,2014,12,22,Republican,9275
KR0008,2014,12,22,Unaffiliated,4727
KR0009,2014,12,22,Democratic,3022
KR0009,2014,12,22,Libertarian,132
KR0009,2014,12,22,Republican,6850
KR0009,2014,12,22,Unaffiliated,4996
KR0010,2014,12,22,,6
KR0010,2014,12,22,Democratic,5189
KR0010,2014,12,22,Libertarian,187
KR0010,2014,12,22,Republican,4875
KR0010,2014,12,22,Unaffiliated,5969
KR0011,2014,12,22,,6
KR0011,2014,12,22,Democratic,3134
KR0011,2014,12,22,Libertarian,89
KR0011,2014,12,22,Republican,6225
KR0011,2014,12,22,Unaffiliated,2993
KR0012,2014,12,22,,27
KR0012,2014,12,22,Democratic,2390
KR0012,2014,12,22,Libertarian,99
KR0012,2014,12,22,Republican,7877
KR0012,2014,12,22,Unaffiliated,3081
KR0013,2014,12,22,,2
KR0013,2014,12,22,Democratic,2149
KR0013,2014,12,22,Libertarian,61
KR0013,2014,12,22,Republican,8209
KR0013,2014,12,22,Unaffiliated,3916
KR0014,2014,12,22,Democratic,3152
KR0014,2014,12,22,Libertarian,126
KR0014,2014,12,22,Republican,7608
KR0014,2014,12,22,Unaffiliated,4603
KR0015,2014,12,22,Democratic,3018
KR0015,2014,12,22,Libertarian,155
KR0015,2014,12,22,Republican,5010
KR0015,2014,12,22,Unaffiliated,4035
KR0016,2014,12,22,Democratic,3742
KR0016,2014,12,22,Libertarian,136
KR0016,2014,12,22,Republican,7564
KR0016,2014,12,22,Unaffiliated,4852
KR0017,2014,12,22,Democratic,3668
KR0017,2014,12,22,Libertarian,137
KR0017,2014,12,22,Republican,7569
KR0017,2014,12,22,Unaffiliated,4763
KR0018,2014,12,22,Democratic,4120
KR0018,2014,12,22,Libertarian,125
KR0018,2014,12,22,Republican,6469
KR0018,2014,12,22,Unaffiliated,4832
KR0019,2014,12,22,Democratic,4101
KR0019,2014,12,22,Libertarian,146
KR0019,2014,12,22,Republican,8787
KR0019,2014,12,22,Unaffiliated,4655
KR0020,2014,12,22,Democratic,3743
KR0020,2014,12,22,Libertarian,118
KR0020,2014,12,22,Republican,9895
KR0020,2014,12,22,Unaffiliated,4687
KR0021,2014,12,22,Democratic,4573
KR0021,2014,12,22,Libertarian,159
KR0021,2014,12,22,Republican,7599
KR0021,2014,12,22,Unaffiliated,5086
KR0022,2014,12,22,Democratic,3978
KR0022,2014,12,22,Libertarian,162
KR0022,2014,12,22,Republican,4700
KR0022,2014,12,22,Unaffiliated,4590
KR0023,2014,12,22,Democratic,3619
KR0023,2014,12,22,Libertarian,134
KR0023,2014,12,22,Republican,5008
KR0023,2014,12,22,Unaffiliated,4168
KR0024,2014,12,22,Democratic,4283
KR0024,2014,12,22,Libertarian,173
KR0024,2014,12,22,Republican,4703
KR0024,2014,12,22,Unaffiliated,5174
KR0025,2014,12,22,Democratic,4915
KR0025,2014,12,22,Libertarian,142
KR0025,2014,12,22,Republican,7236
KR0025,2014,12,22,Unaffiliated,5291
KR0026,2014,12,22,Democratic,2892
KR0026,2014,12,22,Libertarian,134
KR0026,2014,12,22,Republican,7311
KR0026,2014,12,22,Unaffiliated,4828
KR0027,2014,12,22,Democratic,2583
KR0027,2014,12,22,Libertarian,125
KR0027,2014,12,22,Republican,9085
KR0027,2014,12,22,Unaffiliated,4673
KR0028,2014,12,22,Democratic,2682
KR0028,2014,12,22,Libertarian,87
KR0028,2014,12,22,Republican,8231
KR0028,2014,12,22,Unaffiliated,4396
KR0029,2014,12,22,Democratic,3770
KR0029,2014,12,22,Libertarian,157
KR0029,2014,12,22,Republican,7022
KR0029,2014,12,22,Unaffiliated,4954
KR0030,2014,12,22,Democratic,3546
KR0030,2014,12,22,Libertarian,172
KR0030,2014,12,22,Republican,6424
KR0030,2014,12,22,Unaffiliated,4745
KR0031,2014,12,22,,1
KR0031,2014,12,22,Democratic,5185
KR0031,2014,12,22,Libertarian,120
KR0031,2014,12,22,Republican,1715
KR0031,2014,12,22,Unaffiliated,4155
KR0032,2014,12,22,Democratic,3258
KR0032,2014,12,22,Libertarian,37
KR0032,2014,12,22,Republican,752
KR0032,2014,12,22,Unaffiliated,2474
KR0033,2014,12,22,Democratic,5474
KR0033,2014,12,22,Libertarian,111
KR0033,2014,12,22,Republican,3561
KR0033,2014,12,22,Unaffiliated,4933
KR0034,2014,12,22,Democratic,7734
KR0034,2014,12,22,Libertarian,63
KR0034,2014,12,22,Republican,901
KR0034,2014,12,22,Unaffiliated,3371
KR0035,2014,12,22,,1
KR0035,2014,12,22,Democratic,8377
KR0035,2014,12,22,Libertarian,60
KR0035,2014,12,22,Republican,1084
KR0035,2014,12,22,Unaffiliated,3503
KR0036,2014,12,22,Democratic,7852
KR0036,2014,12,22,Libertarian,62
KR0036,2014,12,22,Republican,3727
KR0036,2014,12,22,Unaffiliated,4325
KR0037,2014,12,22,Democratic,4929
KR0037,2014,12,22,Libertarian,86
KR0037,2014,12,22,Republican,1949
KR0037,2014,12,22,Unaffiliated,4139
KR0038,2014,12,22,Democratic,3796
KR0038,2014,12,22,Libertarian,143
KR0038,2014,12,22,Republican,7120
KR0038,2014,12,22,Unaffiliated,5293
KR0039,2014,12,22,Democratic,3189
KR0039,2014,12,22,Libertarian,118
KR0039,2014,12,22,Republican,7105
KR0039,2014,12,22,Unaffiliated,4683
KR0040,2014,12,22,Democratic,3489
KR0040,2014,12,22,Libertarian,100
KR0040,2014,12,22,Republican,5185
KR0040,2014,12,22,Unaffiliated,4682
KR0041,2014,12,22,,1
