district_ks,year,month,day,desc_party,count
,2014,12,22,,32
,2014,12,22,Democratic,318
,2014,12,22,Libertarian,33
,2014,12,22,Republican,399
,2014,12,22,Unaffiliated,912
KS0001,2014,12,22,,7
KS0001,2014,12,22,Democratic,10425
KS0001,2014,12,22,Libertarian,230
KS0001,2014,12,22,Republican,22960
KS0001,2014,12,22,Unaffiliated,13026
KS0002,2014,12,22,,8
KS0002,2014,12,22,Democratic,18978
KS0002,2014,12,22,Libertarian,601
KS0002,2014,12,22,Republican,17089
KS0002,2014,12,22,Unaffiliated,20222
KS0003,2014,12,22,,13
KS0003,2014,12,22,Democratic,14372
KS0003,2014,12,22,Libertarian,452
KS0003,2014,12,22,Republican,17388
KS0003,2014,12,22,Unaffiliated,17944
KS0004,2014,12,22,,1
KS0004,2014,12,22,Democratic,23129
KS0004,2014,12,22,Libertarian,187
KS0004,2014,12,22,Republican,3775
KS0004,2014,12,22,Unaffiliated,10722
KS0005,2014,12,22,,1
KS0005,2014,12,22,Democratic,13221
KS0005,2014,12,22,Libertarian,332
KS0005,2014,12,22,Republican,13768
KS0005,2014,12,22,Unaffiliated,14338
KS0006,2014,12,22,,1
KS0006,2014,12,22,Democratic,14980
KS0006,2014,12,22,Libertarian,287
KS0006,2014,12,22,Republican,6489
KS0006,2014,12,22,Unaffiliated,12543
KS0007,2014,12,22,Democratic,14229
KS0007,2014,12,22,Libertarian,481
KS0007,2014,12,22,Republican,23187
KS0007,2014,12,22,Unaffiliated,15775
KS0008,2014,12,22,Democratic,10924
KS0008,2014,12,22,Libertarian,430
KS0008,2014,12,22,Republican,22931
KS0008,2014,12,22,Unaffiliated,15096
KS0009,2014,12,22,Democratic,9418
KS0009,2014,12,22,Libertarian,484
KS0009,2014,12,22,Republican,20434
KS0009,2014,12,22,Unaffiliated,13920
KS0010,2014,12,22,Democratic,11493
KS0010,2014,12,22,Libertarian,384
KS0010,2014,12,22,Republican,20202
KS0010,2014,12,22,Unaffiliated,14633
KS0011,2014,12,22,Democratic,9525
KS0011,2014,12,22,Libertarian,344
KS0011,2014,12,22,Republican,27661
KS0011,2014,12,22,Unaffiliated,13879
KS0012,2014,12,22,,1
KS0012,2014,12,22,Democratic,10082
KS0012,2014,12,22,Libertarian,352
KS0012,2014,12,22,Republican,22478
KS0012,2014,12,22,Unaffiliated,14407
