race,party,candidate,votes,proportion
Kansas House of Representatives 001,D,Grant Randall,1477,1
Kansas House of Representatives 001,R,Brad R. Bolin,450,0.175
Kansas House of Representatives 001,R,Michael Houser,1480,0.576
Kansas House of Representatives 001,R,Lance Nichols,638,0.248
Kansas House of Representatives 002,D,"Robert ""Bob"" Grant",1633,1
Kansas House of Representatives 002,R,"Jeffrey G. ""Jeff"" Locke",1966,1
Kansas House of Representatives 003,D,Julie Menghini,881,1
Kansas House of Representatives 003,R,Michelle Hucke,1104,1
Kansas House of Representatives 004,D,Shirley J. Palmer,1053,1
Kansas House of Representatives 004,R,Arlyn Briggs,154,0.045
Kansas House of Representatives 004,R,Lynne D. Oharah,778,0.229
Kansas House of Representatives 004,R,Marty Read,2451,0.724
Kansas House of Representatives 005,D,Bill Feuerborn,969,1
Kansas House of Representatives 005,R,Kevin Jones,2343,1
Kansas House of Representatives 006,R,Jene Vickrey,2798,1
Kansas House of Representatives 007,D,H Dean Knewtson,902,1
Kansas House of Representatives 007,R,Brian C Kinzie,1387,0.468
Kansas House of Representatives 007,R,Richard J. Proehl,1572,0.531
Kansas House of Representatives 008,R,Craig McPherson,1385,0.614
Kansas House of Representatives 008,R,Sheryl Spalding,868,0.385
Kansas House of Representatives 009,R,Edwin H. Bideau III,2048,0.56
Kansas House of Representatives 009,R,Judy Brigham,672,0.184
Kansas House of Representatives 009,R,Bud Sifers,932,0.255
Kansas House of Representatives 010,D,John Wilson,798,1
Kansas House of Representatives 010,R,Erica Anderson,1003,1
Kansas House of Representatives 011,D,Darrel Harbaugh,570,1
Kansas House of Representatives 011,R,Jim Kelly,2601,1
Kansas House of Representatives 012,D,Tina Bumgarner,408,1
Kansas House of Representatives 012,R,Jack Kopfman Jr.,1168,0.324
Kansas House of Representatives 012,R,Virgil Peck,2433,0.675
Kansas House of Representatives 013,R,Larry Paul Hibbard,3162,0.608
Kansas House of Representatives 013,R,Fred D. Rinne,2032,0.391
Kansas House of Representatives 014,D,Roberta A. Eveslage,194,0.573
Kansas House of Representatives 014,D,Jessica Peters,144,0.426
Kansas House of Representatives 014,R,Keith Esau,1164,0.618
Kansas House of Representatives 014,R,Janet King,718,0.381
Kansas House of Representatives 015,R,Elliot Lahn,202,0.188
Kansas House of Representatives 015,R,Robert Montgomery,870,0.811
Kansas House of Representatives 016,R,Amanda Grosserode,2116,1
Kansas House of Representatives 017,R,Brett M. Hildabrand,1685,0.577
Kansas House of Representatives 017,R,Jason Leib,1232,0.422
Kansas House of Representatives 018,D,Milack Talia,526,1
Kansas House of Representatives 018,R,John Rubin,1797,0.668
Kansas House of Representatives 018,R,Neal L. Sawyer,892,0.331
Kansas House of Representatives 019,D,Zachary Luea,498,1
Kansas House of Representatives 019,R,Bruce Belanger,1829,0.489
Kansas House of Representatives 019,R,Stephanie Clayton,1911,0.51
Kansas House of Representatives 020,R,Rob Bruchman,2591,0.667
Kansas House of Representatives 020,R,Mark Read,1293,0.332
Kansas House of Representatives 021,D,Amy A. Bell,569,1
Kansas House of Representatives 021,R,Barbara Bollier,2215,1
Kansas House of Representatives 022,D,Nancy Lusk,446,1
Kansas House of Representatives 022,R,Marla Brems,1337,1
Kansas House of Representatives 023,D,Dave Pack,324,1
Kansas House of Representatives 023,R,Kelly R. Meigs,1489,1
Kansas House of Representatives 024,D,Vera Locke,243,0.324
Kansas House of Representatives 024,D,Emily Perry,505,0.675
Kansas House of Representatives 024,R,Christopher Kenneth Waldschmidt,1064,1
Kansas House of Representatives 025,D,Megan England,688,0.706
Kansas House of Representatives 025,D,Scott Gregory,286,0.293
Kansas House of Representatives 025,R,Stephen Foster,721,0.255
Kansas House of Representatives 025,R,Bill Griffith,769,0.272
Kansas House of Representatives 025,R,Melissa A. Rooker,1330,0.471
Kansas House of Representatives 026,R,"Charles P. ""Skip"" Andrews",534,0.326
Kansas House of Representatives 026,R,Larry L. Campbell,1101,0.673
Kansas House of Representatives 027,R,Ray Merrick,2210,1
Kansas House of Representatives 028,D,Kelly L. Jackson,262,1
Kansas House of Representatives 028,R,James Azeltine,693,0.274
Kansas House of Representatives 028,R,Mark Hagen,632,0.25
Kansas House of Representatives 028,R,Jerry Lunn,1198,0.474
Kansas House of Representatives 029,D,Nancy Leiker,403,1
Kansas House of Representatives 029,R,James Todd,1348,0.518
Kansas House of Representatives 029,R,Jim Yonally,1254,0.481
Kansas House of Representatives 030,D,Liz Dickinson,328,1
Kansas House of Representatives 030,R,Lance Kinzer,1146,0.567
Kansas House of Representatives 030,R,Ron Worley,873,0.432
Kansas House of Representatives 031,D,Louis E. Ruiz,655,1
Kansas House of Representatives 031,R,Tim Kelb,202,1
Kansas House of Representatives 032,D,Michael J. (Mike) Peterson,334,1
Kansas House of Representatives 033,D,Tom Burroughs,624,1
Kansas House of Representatives 033,R,Tony Bukaty,561,1
Kansas House of Representatives 034,D,Valdenia C. Winn,733,1
Kansas House of Representatives 035,D,Broderick Henderson,851,1
Kansas House of Representatives 036,D,Kathy Wolfe Moore,1151,1
Kansas House of Representatives 036,R,Shawn A. Shipp,712,1
Kansas House of Representatives 037,D,Stan Frownfelter,616,1
Kansas House of Representatives 038,D,Pete Henderson,478,1
Kansas House of Representatives 038,R,David R. Anderson,870,0.459
Kansas House of Representatives 038,R,Willie Dove,1022,0.54
Kansas House of Representatives 039,D,Marlys Shulda,273,1
Kansas House of Representatives 039,R,Charles Macheers,1162,0.627
Kansas House of Representatives 039,R,Stephanie Meyer,691,0.372
Kansas House of Representatives 040,D,Linda Johnson,513,0.72
Kansas House of Representatives 040,D,Claudia M. Logue,199,0.279
Kansas House of Representatives 040,R,John Bradford,887,0.602
Kansas House of Representatives 040,R,Janette Holdeman,586,0.397
Kansas House of Representatives 041,D,Melanie Meier,530,1
Kansas House of Representatives 041,R,Jana Goodman,666,0.547
Kansas House of Representatives 041,R,Mark Preisinger,550,0.452
Kansas House of Representatives 042,D,Harold D. Fevurly Jr.,503,1
Kansas House of Representatives 042,R,Sandra Bohne,667,0.372
Kansas House of Representatives 042,R,Connie O'Brien,1125,0.627
Kansas House of Representatives 043,D,Kevin King,271,1
Kansas House of Representatives 043,R,Bill Sutton,1016,0.627
Kansas House of Representatives 043,R,Dan L. Thompson,602,0.372
Kansas House of Representatives 044,D,Barbara W. Ballard,1303,1
Kansas House of Representatives 044,R,Patrick Bengtson,959,1
Kansas House of Representatives 045,R,Tom Sloan,1236,1
Kansas House of Representatives 046,D,Paul Davis,1208,1
Kansas House of Representatives 047,D,Bruce Hanson,670,1
Kansas House of Representatives 047,R,Ramon C. Gonzalez Jr.,2299,1
Kansas House of Representatives 048,R,Marvin Kleeb,1737,1
Kansas House of Representatives 049,D,Keith Mace,177,1
Kansas House of Representatives 049,R,Scott Schwab,934,1
Kansas House of Representatives 050,D,Sean Gatewood,1041,1
Kansas House of Representatives 050,R,"Jason ""Jake"" Fisher",1195,0.421
Kansas House of Representatives 050,R,Joshua Powell,1641,0.578
Kansas House of Representatives 051,D,Scott A. Briggs,222,0.376
Kansas House of Representatives 051,D,Richard R Pikul,367,0.623
Kansas House of Representatives 051,R,Ron Highland,1499,0.451
Kansas House of Representatives 051,R,Dee McKee,1048,0.315
Kansas House of Representatives 051,R,Keen A. Umbehr,771,0.232
Kansas House of Representatives 052,D,"Theodore ""Ted"" Ensley",946,1
Kansas House of Representatives 052,R,Shanti Gandhi,1502,0.366
Kansas House of Representatives 052,R,Wm. Scott Hesse,1137,0.277
Kansas House of Representatives 052,R,Dick Jones,1461,0.356
Kansas House of Representatives 053,D,Annie Tietze,1211,1
Kansas House of Representatives 053,R,Mike Burgess,2572,1
Kansas House of Representatives 054,D,Ann E. Mah,984,1
Kansas House of Representatives 054,R,"Debra ""Debbi"" Childers",808,0.292
Kansas House of Representatives 054,R,Ken Corbet,1406,0.509
Kansas House of Representatives 054,R,Dana K Webber,547,0.198
Kansas House of Representatives 055,D,Annie Kuether,1378,1
Kansas House of Representatives 055,R,Becky Nioce,1406,1
Kansas House of Representatives 056,D,Virgil Weigel,998,1
Kansas House of Representatives 056,R,LaVern W. Abney,489,0.2
Kansas House of Representatives 056,R,Janet M. Mitchell,1946,0.799
Kansas House of Representatives 057,D,John Alcala,993,1
Kansas House of Representatives 057,R,Aimee Rosenow,701,1
Kansas House of Representatives 058,D,Harold Lane,923,1
Kansas House of Representatives 058,R,Quentin Martin,652,1
Kansas House of Representatives 059,D,Caleb Correll,378,0.599
Kansas House of Representatives 059,D,Stanley L. Wiles,253,0.4
Kansas House of Representatives 059,R,Blaine Finch,2361,0.6
Kansas House of Representatives 059,R,TerriLois Gregory,1574,0.4
Kansas House of Representatives 060,D,William L. Ballard,761,1
Kansas House of Representatives 060,R,Don Hill,2317,1
Kansas House of Representatives 061,R,Daniel A. Brenner,711,0.188
Kansas House of Representatives 061,R,Richard Carlson,1855,0.491
Kansas House of Representatives 061,R,Trent LeDoux,1206,0.319
Kansas House of Representatives 062,D,Dennis R. Stones,564,1
Kansas House of Representatives 062,R,Randy Garber,2110,0.593
Kansas House of Representatives 062,R,Leslie Scoby,1447,0.406
Kansas House of Representatives 063,D,Jerry Henry,766,1
Kansas House of Representatives 063,R,John Gotts,1907,1
Kansas House of Representatives 064,R,Vern Swanson,1989,1
Kansas House of Representatives 065,D,Tom Brungardt,206,0.5
Kansas House of Representatives 065,D,Melody J. Saxton,206,0.5
Kansas House of Representatives 065,R,Allan Rothlisberg,803,1
Kansas House of Representatives 066,D,Sydney Carlin,525,1
Kansas House of Representatives 066,R,Lee Modesitt,1201,1
Kansas House of Representatives 067,D,Aaron Estabrook,619,1
Kansas House of Representatives 067,R,Tom Phillips,2925,1
Kansas House of Representatives 068,R,Ernie Honas,910,0.342
Kansas House of Representatives 068,R,Tom J. Moxley,1748,0.657
Kansas House of Representatives 069,D,Gary Swartzendruber,400,1
Kansas House of Representatives 069,R,J.R. Claeys,1121,0.521
Kansas House of Representatives 069,R,Bruce H Wyatt,1029,0.478
Kansas House of Representatives 070,R,John E Barker,2063,0.594
Kansas House of Representatives 070,R,Doug Lindahl,1410,0.405
Kansas House of Representatives 071,D,Alan Jilka,485,1
Kansas House of Representatives 071,R,Diana Dierks,2257,0.668
Kansas House of Representatives 071,R,Ronald L. Young,1118,0.331
Kansas House of Representatives 072,D,Glenda Reynolds,433,1
Kansas House of Representatives 072,R,Marc Rhoades,2164,1
Kansas House of Representatives 073,D,Pamela J. Lawson,352,1
Kansas House of Representatives 073,R,Nicholas Lee Reinecker,459,0.167
Kansas House of Representatives 073,R,Clark Shultz,2288,0.832
Kansas House of Representatives 074,R,Don Schroeder,2314,1
Kansas House of Representatives 075,D,Suzanne Scribner,542,1
Kansas House of Representatives 075,R,Will Carpenter,2002,0.697
Kansas House of Representatives 075,R,Karen Hasting,869,0.302
Kansas House of Representatives 076,D,Janet L. Lewis,661,1
Kansas House of Representatives 076,R,Peggy Mast,1735,0.469
Kansas House of Representatives 076,R,Bill Otto,1226,0.331
Kansas House of Representatives 076,R,Willie Prescott,735,0.198
Kansas House of Representatives 077,R,J. David Crum,1990,1
Kansas House of Representatives 078,R,Ron Ryckman,1339,1
Kansas House of Representatives 079,D,Ed Trimmer,551,1
Kansas House of Representatives 079,R,Larry Alley,2257,1
Kansas House of Representatives 080,R,Kasha Kelley,1978,1
Kansas House of Representatives 081,D,Barbara Lynn Wells,201,1
Kansas House of Representatives 081,R,Jim Howell,1073,1
Kansas House of Representatives 082,R,Pete DeGraaf,1521,1
Kansas House of Representatives 083,D,Carolyn Bridges,464,1
Kansas House of Representatives 083,R,Tim Garvey,914,0.695
Kansas House of Representatives 083,R,Rodney Wren,401,0.304
Kansas House of Representatives 084,D,Matthew R Collins,91,0.1
Kansas House of Representatives 084,D,Gail Finney,814,0.899
Kansas House of Representatives 084,R,Dan Heflin,543,1
Kansas House of Representatives 085,D,Rebecca Armstrong,214,0.531
