race,party,candidate,votes,proportion
Attorney General,D,A.J.  Kotich,281105,0.332
Attorney General,R,Derek  Schmidt,564766,0.667
Commissioner of Insurance,D,Dennis  Anderson,320862,0.384
Commissioner of Insurance,R,Ken  Selzer,512679,0.615
Governor / Lt. Governor,D,Paul  Davis,401100,0.461
Governor / Lt. Governor,R,Sam  Brownback,433196,0.498
Governor / Lt. Governor,L,Keen A. Umbehr,35206,0.04
Kansas House of Representatives 001,D,Brian  Caswell,2543,0.405
Kansas House of Representatives 001,R,Michael  Houser,3729,0.594
Kansas House of Representatives 002,D,Adam J. Lusker Sr.,5480,1
Kansas House of Representatives 003,D,Julie  Menghini,2830,0.49
Kansas House of Representatives 003,R,Charles (Chuck) Smith,2944,0.509
Kansas House of Representatives 004,D,Lucas B Cosens,2387,0.317
Kansas House of Representatives 004,R,Marty  Read,5126,0.682
Kansas House of Representatives 005,D,Cleon  Rickel,2246,0.327
Kansas House of Representatives 005,R,Kevin  Jones,4614,0.672
Kansas House of Representatives 006,D,Christy C. Levings,2520,0.328
Kansas House of Representatives 006,R,Jene  Vickrey,5151,0.671
Kansas House of Representatives 007,R,Richard J. Proehl,5223,1
Kansas House of Representatives 008,D,Jodie  Dietz,2723,0.333
Kansas House of Representatives 008,R,Craig  McPherson,5435,0.666
Kansas House of Representatives 009,R,Kent L. Thompson,5869,1
Kansas House of Representatives 010,D,John  Wilson,4828,0.632
Kansas House of Representatives 010,R,Nicolas D. VanWyhe,2811,0.367
Kansas House of Representatives 011,R,Jim  Kelly,4855,1
Kansas House of Representatives 012,D,Eden  Fuson,1929,0.296
Kansas House of Representatives 012,R,Virgil  Peck,4566,0.703
Kansas House of Representatives 013,R,Larry P. Hibbard,6303,1
Kansas House of Representatives 014,D,Merlin  Ring,2632,0.334
Kansas House of Representatives 014,R,Keith  Esau,4764,0.605
Kansas House of Representatives 014,L,Brent  Stackhouse,472,0.059
Kansas House of Representatives 015,D,Steve  Wright,2076,0.386
Kansas House of Representatives 015,R,Erin L. Davis,3289,0.613
Kansas House of Representatives 016,D,Don  McGuire,4048,0.463
Kansas House of Representatives 016,R,Amanda  Grosserode,4680,0.536
Kansas House of Representatives 017,D,Larry  Meeker,3952,0.439
Kansas House of Representatives 017,R,Brett M. Hildabrand,4466,0.497
Kansas House of Representatives 017,L,Michael  Kerner,566,0.063
Kansas House of Representatives 018,D,Cindy  Neighbor,3959,0.481
Kansas House of Representatives 018,R,John  Rubin,4256,0.518
Kansas House of Representatives 019,D,Patricia  Stratton,3565,0.349
Kansas House of Representatives 019,R,Stephanie  Clayton,6637,0.65
Kansas House of Representatives 020,D,Elizabeth  Arnold,4458,0.423
Kansas House of Representatives 020,R,Rob  Bruchman,6075,0.576
Kansas House of Representatives 021,D,Amy  Bell,3677,0.379
Kansas House of Representatives 021,R,Barbara  Bollier,6014,0.62
Kansas House of Representatives 022,D,Nancy  Lusk,3109,0.523
Kansas House of Representatives 022,R,Mike  Jones,2834,0.476
Kansas House of Representatives 023,D,Amber  Versola,2588,0.44
Kansas House of Representatives 023,R,Linda  Gallagher,3285,0.559
Kansas House of Representatives 024,D,Jarrod  Ousley,3963,0.607
Kansas House of Representatives 024,R,Brandon  Hermreck,2559,0.392
Kansas House of Representatives 025,D,Jennifer  Robinson,4252,0.434
Kansas House of Representatives 025,R,Melissa  Rooker,5542,0.565
Kansas House of Representatives 026,D,Cheron  Tiffany,2060,0.294
Kansas House of Representatives 026,R,Larry L. Campbell,4946,0.705
Kansas House of Representatives 027,D,Theresa  Hohl,2684,0.304
Kansas House of Representatives 027,R,Ray  Merrick,6121,0.695
Kansas House of Representatives 028,R,Jerry  Lunn,6343,1
Kansas House of Representatives 029,D,Heather  Meyer,3803,0.456
Kansas House of Representatives 029,R,James Eric Todd,4526,0.543
Kansas House of Representatives 030,D,Liz  Dickinson,3059,0.434
Kansas House of Representatives 030,R,Randy  Powell,3978,0.565
Kansas House of Representatives 031,D,Louis E. Ruiz,2463,1
Kansas House of Representatives 032,D,Pam  Curtis,1203,1
Kansas House of Representatives 033,D,Tom  Burroughs,2705,0.513
Kansas House of Representatives 033,R,Sue  Adams,2560,0.486
Kansas House of Representatives 034,D,Valdenia C. Winn,2953,1
Kansas House of Representatives 035,D,Broderick  Henderson,3297,1
Kansas House of Representatives 036,D,Kathy Wolfe Moore,4554,0.618
Kansas House of Representatives 036,R,Earl  Freeman,2524,0.342
Kansas House of Representatives 036,L,Jeff  Caldwell,283,0.038
Kansas House of Representatives 037,D,Stan S. Frownfelter,2358,1
Kansas House of Representatives 038,D,Jan  Pringle,2366,0.295
Kansas House of Representatives 038,R,Willie  Dove,4874,0.608
Kansas House of Representatives 038,L,F Caleb Christopher,775,0.096
Kansas House of Representatives 039,D,Vicki  Hiatt,2867,0.385
Kansas House of Representatives 039,R,Charles  Macheers,4572,0.614
Kansas House of Representatives 040,D,Linda  Johnson,2590,0.459
Kansas House of Representatives 040,R,John  Bradford,3044,0.54
Kansas House of Representatives 041,D,Nancy D. Bauder,1732,0.44
Kansas House of Representatives 041,R,Tony  Barton,2202,0.559
Kansas House of Representatives 042,D,Austin Lee Harris,2751,0.404
Kansas House of Representatives 042,R,Connie  O'Brien,4042,0.595
Kansas House of Representatives 043,D,Caitlin  Trujillo,1875,0.334
Kansas House of Representatives 043,R,Bill  Sutton,3738,0.665
Kansas House of Representatives 044,D,Barbara W. Ballard,7626,1
Kansas House of Representatives 045,R,Tom  Sloan,8151,1
Kansas House of Representatives 046,D,"Dennis ""Boog"" Highberger",6232,0.837
Kansas House of Representatives 046,R,J. Douglas Robinson,1208,0.162
Kansas House of Representatives 047,D,Bob  Sirridge,2753,0.352
Kansas House of Representatives 047,R,Ramon C. Gonzalez Jr.,5053,0.647
Kansas House of Representatives 048,D,Sandy  Ackerson,2792,0.37
Kansas House of Representatives 048,R,Marvin  Kleeb,4736,0.629
Kansas House of Representatives 049,D,Darnell  Hunt,2137,0.366
Kansas House of Representatives 049,R,Scott  Schwab,3688,0.633
Kansas House of Representatives 050,D,Chris  Huntsman,3512,0.367
Kansas House of Representatives 050,R,Fred C. Patton,6048,0.632
Kansas House of Representatives 051,R,Ron  Highland,7222,1
Kansas House of Representatives 052,D,Ty  Dragoo,4128,0.403
Kansas House of Representatives 052,R,Dick  Jones,6114,0.596
Kansas House of Representatives 053,D,Annie  Tietze,5212,0.606
Kansas House of Representatives 053,R,T.J.  Foy,3383,0.393
Kansas House of Representatives 054,D,Ann E. Mah,4136,0.459
Kansas House of Representatives 054,R,Ken  Corbet,4869,0.54
Kansas House of Representatives 055,D,Annie  Kuether,4602,0.666
Kansas House of Representatives 055,R,James R. Lord,2305,0.333
Kansas House of Representatives 056,D,Virgil  Weigel,3938,0.497
Kansas House of Representatives 056,R,Lane  Hemsley,3978,0.502
Kansas House of Representatives 057,D,John  Alcala,4014,1
Kansas House of Representatives 058,D,Harold  Lane,3164,0.708
Kansas House of Representatives 058,R,Cordell  Fischer,1302,0.291
Kansas House of Representatives 059,D,Scott James Barnhart,1737,0.257
Kansas House of Representatives 059,R,Blaine  Finch,5009,0.742
Kansas House of Representatives 060,R,Don  Hill,5413,1
Kansas House of Representatives 061,D,Vivien J. Olsen,2685,0.322
Kansas House of Representatives 061,R,Becky J. Hutchins,5644,0.677
Kansas House of Representatives 062,D,Steve  Lukert,3705,0.443
Kansas House of Representatives 062,R,Randy  Garber,4644,0.556
Kansas House of Representatives 063,D,Jerry  Henry,4856,1
Kansas House of Representatives 064,R,Susie  Swanson,4148,1
Kansas House of Representatives 065,D,Tom  Brungardt,1085,0.394
Kansas House of Representatives 065,R,Lonnie G. Clark,1667,0.605
Kansas House of Representatives 066,D,Sydney  Carlin,4013,1
Kansas House of Representatives 067,R,Tom  Phillips,7159,1
Kansas House of Representatives 068,R,Tom  Moxley,5119,1
Kansas House of Representatives 069,D,Gary  Swartzendruber,2154,0.388
Kansas House of Representatives 069,R,J.R.  Claeys,3395,0.611
Kansas House of Representatives 070,R,John E Barker,6595,1
Kansas House of Representatives 071,R,Diana  Dierks,7084,1
Kansas House of Representatives 072,R,Marc  Rhoades,5510,1
Kansas House of Representatives 073,D,Von  Peterson,2429,0.311
Kansas House of Representatives 073,R,Les  Mason,5372,0.688
Kansas House of Representatives 074,R,Don  Schroeder,6892,1
Kansas House of Representatives 075,D,Keri  Ratliff,1980,0.309
Kansas House of Representatives 075,R,Will  Carpenter,4417,0.69
Kansas House of Representatives 076,D,Teresa  Briggs,2279,0.31
Kansas House of Representatives 076,R,Peggy L. Mast,3516,0.478
Kansas House of Representatives 076,O,Bill  Otto,1548,0.21
Kansas House of Representatives 077,R,Kristey S. Williams,6187,1
Kansas House of Representatives 078,D,Jim  Poe,2375,0.324
Kansas House of Representatives 078,R,Ron  Ryckman,4936,0.675
Kansas House of Representatives 079,D,Ed  Trimmer,3341,0.501
Kansas House of Representatives 079,R,Larry W. Alley,3324,0.498
Kansas House of Representatives 080,R,Kasha  Kelley,4480,1
Kansas House of Representatives 081,D,Lynn  Wells,1892,0.383
Kansas House of Representatives 081,R,Blake  Carpenter,3044,0.616
Kansas House of Representatives 082,D,Danette  Harris,2787,0.379
Kansas House of Representatives 082,R,Pete  DeGraaf,4564,0.62
Kansas House of Representatives 083,D,Carolyn  Bridges,2829,0.557
Kansas House of Representatives 083,R,James  Thomas,2247,0.442
Kansas House of Representatives 084,D,Gail  Finney,3488,0.705
Kansas House of Representatives 084,R,"Ray ""Grizzly"" Racobs",1139,0.23
Kansas House of Representatives 084,L,Gordon  Bakken,318,0.064
Kansas House of Representatives 085,D,Patrick  Thorpe,2905,0.34
Kansas House of Representatives 085,R,Steven  Brunk,5631,0.659
Kansas House of Representatives 086,D,Jim  Ward,2760,0.717
Kansas House of Representatives 086,L,James  Pruden,1088,0.282
Kansas House of Representatives 087,D,Charles  Jenney,3180,0.39
Kansas House of Representatives 087,R,Mark  Kahrs,4954,0.609
Kansas House of Representatives 088,D,Patricia M. Sloop,2587,0.497
Kansas House of Representatives 088,R,Joseph  Scapa,2615,0.502
Kansas House of Representatives 089,D,Roderick A. Houston,3480,0.581
Kansas House of Representatives 089,R,Frank  Chappell,2504,0.418
Kansas House of Representatives 090,R,Steve  Huebert,6242,1
Kansas House of Representatives 091,R,Gene  Suellentrop,5923,1
Kansas House of Representatives 092,D,John  Carmichael,3514,0.537
Kansas House of Representatives 092,R,Jeremy  Alessi,3023,0.462
Kansas House of Representatives 093,D,Sammy K. Flaharty,2158,0.312
Kansas House of Representatives 093,R,John  Whitmer,4758,0.687
Kansas House of Representatives 094,R,Mario  Goico,6634,1
Kansas House of Representatives 095,D,Tom  Sawyer,2494,0.58
Kansas House of Representatives 095,R,Benny  Boman,1805,0.419
Kansas House of Representatives 096,D,Brandon  Whipple,2544,0.561
Kansas House of Representatives 096,R,Rick  Lindsey,1983,0.438
Kansas House of Representatives 097,R,Leslie G. Osterman,4203,1
Kansas House of Representatives 098,D,Steven G. Crum,2163,0.485
Kansas House of Representatives 098,R,Steven  Anthimides,2292,0.514
Kansas House of Representatives 099,R,Dennis E. Hedke,7042,1
Kansas House of Representatives 100,D,John Wallace Willoughby,2565,0.299
Kansas House of Representatives 100,R,Dan  Hawkins,6008,0.7
Kansas House of Representatives 101,R,Joe  Seiwert,6936,1
Kansas House of Representatives 102,D,Brian E. Davis,1881,0.464
Kansas House of Representatives 102,R,Jan  Pauls,2169,0.535
Kansas House of Representatives 103,D,Ponka-We  Victors,1648,1
Kansas House of Representatives 104,R,Steven R. Becker,7867,1
Kansas House of Representatives 105,D,Sherry  Livingston,2355,0.388
Kansas House of Representatives 105,R,Mark Edward Hutton,3705,0.611
Kansas House of Representatives 106,R,Sharon J. Schwartz,7230,1
Kansas House of Representatives 107,R,Susan L. Concannon,7354,1
Kansas House of Representatives 108,R,Steven  Johnson,7000,1
Kansas House of Representatives 109,R,Troy L. Waymaster,7753,1
Kansas House of Representatives 110,R,Travis  Couture-Lovelady,7698,1
Kansas House of Representatives 111,D,James A. Leiker,3330,0.426
Kansas House of Representatives 111,R,Sue E. Boldra,4472,0.573
Kansas House of Representatives 112,D,Steve  Muehleisen,1480,0.245
Kansas House of Representatives 112,R,John  Edmonds,4559,0.754
Kansas House of Representatives 113,R,"Jeremy ""Basil"" Dannebohm",6019,1
Kansas House of Representatives 114,D,Mark  Schnittker,2189,0.294
Kansas House of Representatives 114,R,Jack  Thimesch,5242,0.705
Kansas House of Representatives 115,D,Mark  Low,1443,0.263
Kansas House of Representatives 115,R,Ronald W Ryckman Sr.,4041,0.736
Kansas House of Representatives 116,R,Kyle D Hoffman,6393,1
Kansas House of Representatives 117,R,John L. Ewy,7345,1
Kansas House of Representatives 118,R,Don  Hineman,7847,1
Kansas House of Representatives 119,D,John E. Thomas,1105,0.293
Kansas House of Representatives 119,R,Bud  Estes,2664,0.706
Kansas House of Representatives 120,R,Richard (Rick)  Billinger,7638,1
Kansas House of Representatives 121,D,Gary  Smith,2789,0.359
Kansas House of Representatives 121,R,S. Mike Kiegerl,4978,0.64
Kansas House of Representatives 122,R,"J. Russell ""Russ"" Jennings",4427,1
Kansas House of Representatives 123,R,John  Doll,3790,1
Kansas House of Representatives 124,R,J. Stephen Alford,5041,1
Kansas House of Representatives 125,R,Shannon G. Francis,2863,1
Kansas Senate 035,R,Richard  Wilborn,20149,1
Kansas Senate 037,R,Molly  Baumgardner,19461,1
Secretary of State,D,Jean Kurtis Schodorf,350692,0.407
Secretary of State,R,Kris  Kobach,508926,0.592
State Treasurer,D,Carmen  Alldritt,274257,0.324
State Treasurer,R,Ron  Estes,570110,0.675
United States House of Representatives 001,D,James E. Sherow,65397,0.32
United States House of Representatives 001,R,Tim  Huelskamp,138764,0.679
United States House of Representatives 002,D,Margie  Wakefield,87153,0.386
United States House of Representatives 002,R,Lynn  Jenkins,128742,0.57
United States House of Representatives 002,L,Christopher  Clemmons,9791,0.043
United States House of Representatives 003,D,Kelly  Kultala,89584,0.399
United States House of Representatives 003,R,Kevin  Yoder,134493,0.6
United States House of Representatives 004,D,Perry L. Schuckman,69396,0.333
United States House of Representatives 004,R,Mike  Pompeo,138757,0.666
United States Senate,R,Pat  Roberts,460350,0.531
United States Senate,L,Randall  Batson,37469,0.043
United States Senate,O,Greg  Orman,368372,0.425
