county,registered_voters,advance_votes,prop_votes_advance,provisional_votes,total_votes_cast,prop_turnout
Allen,8655,1314,0.2310,205,5686,0.6570
Anderson,5410,738,0.2140,101,3454,0.6380
Atchison,11332,1805,0.2630,208,6861,0.6050
Barber,2970,557,0.2420,51,2301,0.7750
Barton,17427,2853,0.2730,175,10455,0.6000
Bourbon,11643,1924,0.3050,231,6312,0.5420
Brown,6159,834,0.2000,106,4169,0.6770
Butler,42282,9020,0.3180,698,28357,0.6710
Chase,1827,520,0.3680,21,1414,0.7740
Chautaqua,2332,290,0.1900,28,1526,0.6540
Cherokee,16953,1702,0.1920,295,8863,0.5230
Cheyenne,1914,496,0.3450,8,1438,0.7510
Clark,1476,285,0.2740,28,1039,0.7040
Clay,5761,1448,0.3640,105,3981,0.6910
Cloud,6003,1013,0.2540,115,3992,0.6650
Coffey,6164,1159,0.2770,108,4186,0.6790
Comanche,1136,118,0.1270,27,929,0.8180
Cowley,19982,4520,0.3460,482,13056,0.6530
Crawford,24901,3636,0.2360,573,15434,0.6200
Decatur,2112,331,0.2210,26,1499,0.7100
Dickinson,12955,2169,0.2570,238,8428,0.6510
Doniphan,4932,524,0.1500,61,3488,0.7070
Douglas,81380,22969,0.4400,2006,52164,0.6410
Edwards,1905,77,0.0570,13,1349,0.7080
Elk,1850,395,0.2980,21,1327,0.7170
Ellis,18317,3651,0.2980,264,12254,0.6690
Ellsworth,4148,630,0.2280,68,2767,0.6670
Finney,19016,2500,0.2370,509,10543,0.5540
Ford,15790,3326,0.4190,366,7943,0.5030
Franklin,18004,2757,0.2440,363,11319,0.6290
Geary,15658,2802,0.3350,668,8363,0.5340
Gove,1920,213,0.1530,25,1391,0.7240
Graham,1811,316,0.2390,18,1321,0.7290
Grant,3543,782,0.3180,93,2460,0.6940
Gray,3032,637,0.3000,73,2121,0.7000
Greeley,860,254,0.3790,15,671,0.7800
Greenwood,4835,727,0.2500,35,2911,0.6020
Hamilton,1301,421,0.4690,26,898,0.6900
Harper,4202,542,0.2050,81,2638,0.6280
Harvey,21761,5612,0.3640,399,15435,0.7090
Haskell,2383,308,0.2220,63,1386,0.5820
Hodgeman,1404,176,0.1670,23,1052,0.7490
Jackson,8534,1821,0.3000,142,6061,0.7100
Jefferson,13280,1458,0.1690,239,8651,0.6510
Jewell,2159,458,0.3020,34,1517,0.7030
Johnson,407550,182758,0.6100,10571,299711,0.7350
Kearny,2157,332,0.2340,45,1418,0.6570
Kingman,5278,785,0.2300,61,3419,0.6480
Kiowa,1425,289,0.2550,77,1135,0.7960
Labette,16130,884,0.1050,210,8391,0.5200
Lane,1321,186,0.2060,38,903,0.6840
Leavenworth,50794,13749,0.4410,748,31146,0.6130
Lincoln,2177,381,0.2500,25,1524,0.7000
Linn,6813,1007,0.2210,160,4547,0.6670
Logan,1856,387,0.2790,16,1389,0.7480
Lyon,19872,3728,0.2900,594,12844,0.6460
Marion,7911,1806,0.3110,164,5813,0.7350
Marshall,6468,1484,0.3060,144,4854,0.7500
McPherson,17068,2988,0.2270,308,13186,0.7730
Meade,3237,562,0.3200,60,1754,0.5420
Miami,22059,6573,0.4250,425,15479,0.7020
Mitchell,4163,664,0.2240,110,2958,0.7110
Montgomery,19573,1719,0.1390,379,12335,0.6300
Morris,3868,1037,0.3830,71,2710,0.7010
Morton,1957,407,0.3280,29,1241,0.6340
Nemaha,7318,777,0.1470,80,5289,0.7230
Neosho,11468,619,0.0960,134,6481,0.5650
Ness,1988,401,0.2690,34,1489,0.7490
Norton,3367,458,0.1980,59,2317,0.6880
Osage,10808,1037,0.1400,251,7398,0.6840
Osborne,2744,293,0.1560,47,1877,0.6840
Ottawa,4362,697,0.2330,46,2997,0.6870
Pawnee,3895,926,0.3340,67,2771,0.7110
Phillips,3613,395,0.1450,63,2729,0.7550
Pottawatomie,14381,2376,0.2130,367,11158,0.7760
Pratt,5900,956,0.2400,38,3986,0.6760
Rawlins,2111,405,0.2700,18,1502,0.7120
Reno,41135,8296,0.3310,835,25088,0.6100
Republic,3700,700,0.2720,53,2577,0.6960
Rice,5980,1355,0.3570,110,3794,0.6340
Riley,33917,9243,0.4050,1263,22811,0.6730
Rooks,3425,327,0.1350,69,2426,0.7080
Rush,2118,396,0.2540,45,1562,0.7370
Russell,4478,707,0.2170,58,3265,0.7290
Saline,35414,6614,0.2910,620,22694,0.6410
Scott,3274,558,0.2480,47,2247,0.6860
Sedgwick,293113,112441,0.5740,7286,195746,0.6680
Seward,10495,1940,0.3720,386,5218,0.4970
Shawnee,109731,22629,0.2890,2156,78356,0.7140
Sheridan,1835,279,0.1970,28,1414,0.7710
Sherman,3870,970,0.3630,76,2674,0.6910
Smith,2897,397,0.1880,51,2111,0.7290
Stafford,2666,601,0.3080,17,1949,0.7310
Stanton,1216,153,0.1900,38,806,0.6630
Stevens,2986,381,0.1980,48,1923,0.6440
Sumner,16482,2080,0.2080,334,9994,0.6060
Thomas,4600,1654,0.4460,152,3705,0.8050
Trego,2181,446,0.2930,32,1522,0.6980
Wabaunsee,4775,691,0.1970,70,3506,0.7340
Wallace,1054,258,0.3120,15,826,0.7840
Washington,3347,752,0.2660,87,2822,0.8430
Wichita,1366,206,0.2120,13,971,0.7110
Wilson,4943,1021,0.2750,110,3713,0.7510
Woodson,2246,335,0.2250,40,1491,0.6640
Wyandotte,79625,25033,0.4980,1960,50295,0.6320
